ebank.banking.gov.tw 資料匯出
匯出時間: 2026/3/26 下午4:42:29

=== 摘要 ===
EC002W_儲值卡發行資料維護: 145筆
EC011W_儲值卡類型資料維護: 68筆
EP005B_電子支付帳戶戶數及使用者人數資料維護: 90筆
EP005W_電子支付帳戶使用者別交易資料維護: 90筆
EP006B_電子支付機構業務帳戶別交易資訊應申報資料維護: 90筆
EP006W_電子支付機構業務業務別交易資訊應申報資料維護: 90筆
EP007W_電子支付帳戶支付工具別交易資料維護: 90筆
EP007X_儲值卡支付工具別交易資料維護: 56筆
EP008W_電子支付機構特約機構交易資料維護: 90筆
EP010W_電子支付機構實體通路支付服務交易資料維護: 73筆
EP010X_電子支付機構代理收付實質交易款項業務通路別交易資料維護: 51筆
EP014W_電子支付機構收受使用者支付款項餘額資料維護: 90筆
EP015W_電子支付機構申訴案件統計情形資料維護: 90筆
EP105B_與境外機構合作或協助相關電子支付機構業務客戶數資料維護: 17筆
EP105W_與境外機構合作或協助相關電子支付業務客戶資料維護: 17筆
EP106B_與境外機構合作或協助相關電子支付機構業務客戶交易資料維護: 18筆
EP106W_與境外機構合作或協助相關電子支付機構業務業務別客戶交易資料維護: 18筆
EP106X_與境外機構大陸地區合作或協助相關電子支付機構業務資料維護: 1筆
EP107W_與境外機構合作或協助相關電子支付機構業務客戶帳戶支付工具資料維護: 18筆
EP108W_與境外機構合作或協助相關電子支付機構業務收款方客戶交易資料維護: 1筆
EP108X_與境外機構合作或協助相關電子支付機構業務付款方客戶交易資料維護: 17筆
EP114W_與境外機構合作或協助相關電子支付機構業務收受客戶支付款項餘額資料: 18筆
EP115W_與境外機構合作或協助相關電子支付機構業務申訴案件統計情形資料維護: 13筆
WB031W_電話申訴辦理情形資料維護: 0筆
WB032W_申訴服務專線維護: 3筆
WB033W_人民陳情案件辦理情形資料維護: 0筆
WB041W_行動支付業務資料維護: 97筆
WB056W_電子支付機構端末設備共用情形資料維護: 7筆

================================================================================
[1] EC002W_儲值卡發行資料維護
================================================================================
資料月份,卡片名稱,當月發卡數,發卡總數
113/04,47360400,37978105,24074716,546950633
113/03,46903303,37809331,26311395,657502660
113/02,46276167,37344914,23757863,606380870
113/01,45725873,37086086,25250559,565827751
112/12,45280959,36851200,26590258,586181436
112/11,44707429,36444678,25158965,548941307
112/10,44246245,36165055,25287130,567736448
112/09,43822309,35908915,23936572,527032356
112/08,43303445,35587307,24251644,555019761
112/07,42566741,35067281,23589327,541078557
112/06,42175357,34842065,26710631,574260379
112/05,41718811,34543743,29404252,611859696
112/04,41261240,34248978,27997594,591521643
112/03,40801454,33947813,30420800,613260942
112/02,40256105,33561206,26342056,547704544
112/01,39776263,33242887,26147866,565224974
111/12,39284357,32876700,30334877,630358902
111/11,38875083,32613956,28540561,582972662
111/10,38408997,32280074,28379685,584198440
111/09,37955274,31954330,26451985,544717471
111/08,37471246,31596590,25584291,557419878
111/07,36895859,31142812,23113421,523651868
111/06,36341648,30612336,18021931,435031887
111/05,35886175,30378337,18636205,429492856
111/04,35550442,30156721,24305205,514984472
111/03,35133161,29838728,29906852,597056242
111/02,34644395,29476233,21763428,467788326
111/01,34245746,29181569,25364325,530489229
110/12,33856029,28904122,30777418,628609792
110/11,33443185,28592577,28287949,571602180
110/10,33018098,28269855,26724400,559644151
110/09,32563819,27903486,21276053,463263527
110/08,32110503,27532156,15356212,401676886
110/07,31709016,27214375,9755274,320471340
110/06,31334992,26940914,6959197,258292883
110/05,31047894,26722069,19436009,465918588
110/04,30724842,26475323,31953749,645307605
110/03,30405643,26244578,33186600,652844348
110/02,30059191,25995752,25376804,539872518
110/01,29836159,25865464,30481201,635638659
109/12,29493741,25808070,35223630,698956809
109/11,29119855,25541089,33218698,663344115
109/10,28882181,25382665,33436583,689222279
109/09,28601550,25188412,32601033,657036493
109/08,28226527,24894499,30928812,673487798
109/07,27913141,24658282,31565990,681901859

================================================================================
[3] EP005B_電子支付帳戶戶數及使用者人數資料維護
================================================================================
資料月份,電子支付帳戶戶數,開立電子支付帳戶之使用者人數
115/02,7195986,7195986
115/01,7165818,7165818
114/12,7156026,7156026
114/11,7133559,7133559
114/10,7109281,7109281
114/09,7080405,7080405
114/08,7048199,7048199
114/07,7016659,7016659
114/06,6980934,6980934
114/05,6941973,6941973
114/04,6903178,6903178
114/03,6866307,6866307
114/02,6823897,6823897
114/01,6774615,6774615
113/12,6684320,6684320
113/11,6639696,6639696
113/10,6597430,6597430
113/09,6552346,6552346
113/08,6501946,6501946
113/07,6448719,6448719
113/06,6403013,6403013
113/05,6361749,6361749
113/04,6317427,6317427
113/03,6276043,6276043
113/02,6227388,6227388
113/01,6120471,6120471
112/12,6070995,6070995
112/11,6022807,6022807
112/10,5978176,5978176
112/09,5960039,5960039
112/08,5906730,5906730
112/07,5852009,5852009
112/06,5804784,5804784
112/05,5757518,5757518
112/04,5707380,5707380
112/03,5648232,5648232
112/02,5580436,5580436
112/01,5514193,5514193
111/12,5402511,5402511
111/11,5351135,5351135
111/10,5302337,5302337
111/09,5241674,5241674
111/08,5176764,5176764
111/07,5106784,5106784
111/06,5042426,5042426
111/05,4980546,4980546
111/04,4913416,4913416
111/03,4829036,4829036
111/02,4759141,4759141
111/01,4682595,4682595
110/12,4556549,4556549
110/11,4498846,4498846
110/10,4406335,4406335
110/09,4286431,4286431
110/08,4141280,4141280
110/07,4020873,4020873
110/06,3811385,0
110/05,3658334,0
110/04,3523226,0
110/03,3414469,0
110/02,3300441,0
110/01,3146285,0
109/12,3047998,0
109/11,2952849,0
109/10,2859728,0
109/09,2771973,0
109/08,2669229,0
109/07,2571492,0
109/06,2449995,0
109/05,2368498,0
109/04,2292927,0
109/03,2219547,0
109/02,2161775,0
109/01,2101016,0
108/12,2027510,0
108/11,1954552,0
108/10,1874079,0
108/09,1795590,0
108/08,1734683,0
108/07,1667983,0
108/06,1594570,0
108/05,1532787,0
108/04,1462936,0
108/03,1388407,0
108/02,1305821,0
108/01,1099230,0
107/12,1006821,0
107/11,903296,0
107/10,706490,0
107/09,517593,0

================================================================================
[4] EP005W_電子支付帳戶使用者別交易資料維護
================================================================================
資料月份,使用者人數,交易筆數,交易金額
115/02,7195986,5756586,9012217316
115/01,7165818,5721309,9732557295
114/12,7156026,13711432,18012958535
114/11,7133559,31431925,35791802250
114/10,7109281,31677548,35421524342
114/09,7080405,31805477,35766019008
114/08,7048199,32634304,35845950057
114/07,7016659,32894353,36242693688
114/06,6980934,32506143,35515956568
114/05,6941973,32747928,36056813011
114/04,6903178,30895960,34964936164
114/03,6866307,31620257,36148869506
114/02,6823897,27389143,33261654693
114/01,6774615,30876311,40580401634
113/12,6684320,30384995,35659579130
113/11,6639696,28583869,33712133954
113/10,6597430,27736925,33879415045
113/09,6552346,27175696,33237402493
113/08,6501946,27791667,35267161429
113/07,6448719,26536579,34776922285
113/06,6403013,25687140,32857739895
113/05,6361749,26605786,33444190262
113/04,6317427,24422876,31788120551
113/03,6276043,25030885,32879140983
113/02,6227388,22732207,32962742950
113/01,6120471,23604352,32704174315
112/12,6070995,23565666,30144974859
112/11,6022807,22062020,28881567447
112/10,5978176,21421639,28306663878
112/09,5960039,20617425,27282384404
112/08,5906730,20641922,27244933609
112/07,5852009,19955839,26930525062
112/06,5804784,19035074,25280988464
112/05,5757518,19770794,27346684528
112/04,5707380,19873167,34122395553
112/03,5648232,20574268,35111599342
112/02,5580436,17094801,30656604551
112/01,5514193,18111538,35122892227
111/12,5402511,17842939,30474039253
111/11,5351135,16410488,27624456359
111/10,5302337,15574919,26325718519
111/09,5241674,14691920,25475648684
111/08,5176764,14884200,25031548570
111/07,5106784,14206400,23968095593
111/06,5042426,12903592,21806574260
111/05,4980546,13056372,21751847188
111/04,4913416,12708084,20045567472
111/03,4829036,13613828,20527421148
111/02,4759141,10942146,16429845755
111/01,4682595,13371161,22001323898
110/12,4556549,12994463,18069758128
110/11,4498846,13281202,17279390970
110/10,4406335,13569038,16631431434
110/09,4286431,9670437,14307276892
110/08,4141280,10033277,14012679232
110/07,4020873,9182227,13626037646
110/06,7622770,12531698,6432570056
110/05,7316668,14600604,8152258452
110/04,7046452,14694248,7241408454
110/03,6828938,14253688,8124941584
110/02,6600882,10863896,5883035400
110/01,6292570,11268802,6575514780
109/12,6095996,11296278,8041676754
109/11,5905698,11018594,7624826680
109/10,5719456,10508560,6614273462
109/09,5543946,10938860,7578587292
109/08,5338458,10297872,6329024362
109/07,5142984,0,0
109/06,4899990,0,0
109/05,4736996,0,0
109/04,4585854,0,0
109/03,4439094,0,0
109/02,4323550,0,0
109/01,4202032,0,0
108/12,4055020,0,0
108/11,3909104,0,0
108/10,3748158,0,0
108/09,3591180,0,0
108/08,3469366,0,0
108/07,3335966,0,0
108/06,3189140,0,0
108/05,3065574,0,0
108/04,2925872,0,0
108/03,2776814,0,0
108/02,2611642,0,0
108/01,2198460,0,0
107/12,2013642,0,0
107/11,1806592,0,0
107/10,1412980,0,0
107/09,1035186,0,0

================================================================================
[5] EP006B_電子支付機構業務帳戶別交易資訊應申報資料維護
================================================================================
資料月份,筆數,交易金額,本年度累計筆數,本年度累計交易金額
115/02,5756586,9012217316,11477895,18744774611
115/01,5721309,9732557295,5721309,9732557295
114/12,13711432,18012958535,360190781,413609579456
114/11,31431925,35791802250,346479349,395596620921
114/10,31677548,35421524342,315047424,359804818671
114/09,31805477,35766019008,283369876,324383294329
114/08,32634304,35845950057,251564399,288617275321
114/07,32894353,36242693688,218930095,252771325264
114/06,32506143,35515956568,186035742,216528631576
114/05,32747928,36056813011,153529599,181012675008
114/04,30895960,34964936164,120781671,144955861997
114/03,31620257,36148869506,89885711,109990925833
114/02,27389143,33261654693,58265454,73842056327
114/01,30876311,40580401634,30876311,40580401634
113/12,30384995,35659579130,316292977,403168723292
113/11,28583869,33712133954,285907982,367509144162
113/10,27736925,33879415045,257324113,333797010208
113/09,27175696,33237402493,229587188,299917595163
113/08,27791667,35267161429,202411492,266680192670
113/07,26536579,34776922285,174619825,231413031241
113/06,25687140,32857739895,148083246,196636108956
113/05,26605786,33444190262,122396106,163778369061
113/04,24422876,31788120551,95790320,130334178799
113/03,25030885,32879140983,71367444,98546058248
113/02,22732207,32962742950,46336559,65666917265
113/01,23604352,32704174315,23604352,32704174315
112/12,23565666,30144974859,242724153,356432213924
112/11,22062020,28881567447,219158487,326287239065
112/10,21421639,28306663878,197096467,297405671618
112/09,20617425,27282384404,175674828,269099007740
112/08,20641922,27244933609,155057403,241816623336
112/07,19955839,26930525062,134415481,214571689727
112/06,19035074,25280988464,114459642,187641164665
112/05,19770794,27346684528,95424568,162360176201
112/04,19873167,34122395553,75653774,135013491673
112/03,20574268,35111599342,55780607,100891096120
112/02,17094801,30656604551,35206339,65779496778
112/01,18111538,35122892227,18111538,35122892227
111/12,17842939,30474039253,170206049,281462086699
111/11,16410488,27624456359,152363110,250988047446
111/10,15574919,26325718519,135952622,223363591087
111/09,14691920,25475648684,120377703,197037872568
111/08,14884200,25031548570,105685783,171562223884
111/07,14206400,23968095593,90801583,146530675314
111/06,12903592,21806574260,76595183,122562579721
111/05,13056372,21751847188,63691591,100756005461
111/04,12708084,20045567472,50635219,79004158273
111/03,13613828,20527421148,37927135,58958590801
111/02,10942146,16429845755,24313307,38431169653
111/01,13371161,22001323898,13371161,22001323898
110/12,12994463,18069758128,109809971,157639317325
110/11,13281202,17279390970,96815508,139569559197
110/10,13569038,16631431434,83534306,122290168227
110/09,9670437,14307276892,69965268,105658736793
110/08,10033277,14012679232,60294831,91351459901
110/07,9182227,13626037646,50261554,77338780669
110/06,7883045,12239276649,41079327,63712743023
110/05,7665334,12251865080,33196282,51473466374
110/04,7226304,10902572675,25530948,39221601294
110/03,6998844,10734786596,18304644,28319028619
110/02,5707601,8881175302,11305800,17584242023
110/01,5598199,8703066721,5598199,8703066721
109/12,5446436,8862315681,44314339,61383736296
109/11,5067644,7832870564,38867903,52521420615
109/10,4757692,6931269538,33800259,44688550051
109/09,4883246,7211500939,29042567,37757280513
109/08,4437182,6128728561,24159321,30545779574
109/07,4259069,5447603604,19722139,24417051013
109/06,3115499,4709744825,15463070,18969447409
109/05,3153761,4174122246,12347571,14259702584
109/04,2566172,3254985626,9193810,10085580338
109/03,2359964,2373223364,6627638,6830594712
109/02,2064020,2129067151,4267674,4457371348
109/01,2203654,2328304197,2203654,2328304197
108/12,2551232,2542718319,19744305,15698423558
108/11,2519040,2357511471,17193073,13155705239
108/10,1941563,1780419320,14674033,10798193768
108/09,1855588,1484952355,12732470,9017774448
108/08,1356046,1279122905,10876882,7532822093
108/07,1279019,1065919400,9520836,6253699188
108/06,1361443,916344802,8241817,5187779788
108/05,1284557,895525066,6880374,4271434986
108/04,1135116,819680650,5595817,3375909920
108/03,1043318,717870189,4460701,2556229270
108/02,2564437,1187103030,3417383,1838359081
108/01,852946,651256051,852946,651256051
107/12,794508,552907651,17189846,2298733261
107/11,755179,504480049,16395338,1745825610
107/10,685521,395713573,15640159,1241345561
107/09,14954638,845631988,14954638,845631988

================================================================================
[6] EP006W_電子支付機構業務業務別交易資訊應申報資料維護
================================================================================
資料月份,筆數,交易金額
115/02,28423716,10074145013
115/01,31209402,10848738496
114/12,41324144,19238097846
114/11,57353753,36977314425
114/10,58225060,36632784473
114/09,57176139,36939518844
114/08,58453320,37081593064
114/07,57167522,37388544900
114/06,57618223,36614797416
114/05,59304971,37270921022
114/04,57415006,36165058606
114/03,58186838,37300142635
114/02,51311114,34287807154
114/01,56077473,41659593805
113/12,58425327,36843988401
113/11,54956963,34831530000
113/10,52423816,34958894404
113/09,52798958,34583015066
113/08,53888107,36410630502
113/07,50708338,35830459525
113/06,51279925,33933460354
113/05,53961087,34575678082
113/04,50465418,32902834640
113/03,53409714,34112102461
113/02,48496069,34117150890
113/01,50873328,33822217012
112/12,52364308,31335394582
112/11,49205634,29993560533
112/10,48761495,29456955174
112/09,46515403,28543870335
112/08,46968064,28494253958
112/07,45572992,28041052796
112/06,47818775,26443874607
112/05,51337590,28594579532
112/04,50089798,35331986619
112/03,53223325,36358392329
112/02,45537595,31778596279
112/01,46454429,36284904703
111/12,50906981,31765029100
111/11,47398334,28817997409
111/10,46128718,27521281259
111/09,43129662,26585775488
111/08,42552189,26173954691
111/07,39252388,25036498734
111/06,32437340,22687420352
111/05,33149728,22618045021
111/04,38912227,21085018190
111/03,45704882,21740406075
111/02,34517228,17396429269
111/01,40668597,23074137786
110/12,46181301,19348510610
110/11,43771692,18446387426
110/10,42469860,17776139136
110/09,32624408,15252725046
110/08,26805999,14839802244
110/07,19862417,14274231083
110/06,7883045,12239276649
110/05,7665334,12251865080
110/04,7226304,10902572675
110/03,6998844,10734786596
110/02,5707601,8881175302
110/01,5598199,8703066721
109/12,5446436,8862315681
109/11,5067644,7832870564
109/10,4757692,6931269538
109/09,4883246,7211500939
109/08,4437182,6128728561
109/07,4259069,5447603604
109/06,3115499,4709744825
109/05,3153761,4174122246
109/04,2566172,3254985626
109/03,2359964,2373223364
109/02,2064020,2129067151
109/01,2203654,2328304197
108/12,2551232,2542718319
108/11,2519040,2357511471
108/10,1941563,1780419320
108/09,1855588,1484952355
108/08,1356046,1279122905
108/07,1279019,1065919400
108/06,1361443,916344802
108/05,1284557,895525066
108/04,1135116,819680650
108/03,1043318,717870189
108/02,2564437,1187103030
108/01,852946,651256051
107/12,794508,552907651
107/11,750773,504480049
107/10,685521,395713573
107/09,14954638,845631988

================================================================================
[7] EP007W_電子支付帳戶支付工具別交易資料維護
================================================================================
資料月份,筆數,交易金額
115/02,5756586,9012217316
115/01,5721309,9732557295
114/12,13711432,18012958535
114/11,31431925,35791802250
114/10,31677548,35421524342
114/09,31805477,35766019008
114/08,32634304,35845950057
114/07,32894353,36242693688
114/06,32506143,35515956568
114/05,32747928,36056813011
114/04,30895960,34964936164
114/03,31620257,36148869506
114/02,27389143,33261654693
114/01,30876311,40580401634
113/12,30384995,35659579130
113/11,28583869,33712133954
113/10,27736925,33879415045
113/09,27175696,33237402493
113/08,27791667,35267161429
113/07,26536579,34776922285
113/06,25687140,32857739895
113/05,26605786,33444190262
113/04,24422876,31788120551
113/03,25030885,32879140983
113/02,22732207,32962742950
113/01,23604352,32704174315
112/12,23565666,30144974859
112/11,22062020,28881567447
112/10,21421639,28306663878
112/09,20617425,27282384404
112/08,20641922,27244933609
112/07,19955839,26930525062
112/06,19035074,25280988464
112/05,19770794,27346684528
112/04,19873167,34122395553
112/03,20574268,35111599342
112/02,17094801,30656604551
112/01,18111538,35122892227
111/12,17842939,30474039253
111/11,16410488,27624456359
111/10,15574919,26325718519
111/09,14691920,25475648684
111/08,14884200,25031548570
111/07,14206400,23968095593
111/06,12903592,21806574260
111/05,13056372,21751847188
111/04,12708084,20045567472
111/03,13613828,20527421148
111/02,10942146,16429845755
111/01,13371161,22001323898
110/12,12994463,18069758128
110/11,13281202,17279390970
110/10,13569038,16631431434
110/09,9670437,14307276892
110/08,10033277,14012679232
110/07,9182227,13626037646
110/06,8161656,12239276649
110/05,7898455,12251865080
110/04,7443230,10902572675
110/03,7207474,10734786596
110/02,5888025,8881175302
110/01,5766409,8703066721
109/12,5598786,8862315681
109/11,5195146,7832870564
109/10,4868972,6931269538
109/09,4988282,7211500939
109/08,4531128,6128728561
109/07,4349239,5447603604
109/06,3426062,4709744825
109/05,3225664,4174122246
109/04,2628423,3254985626
109/03,2419395,2373223364
109/02,2114938,2129067151
109/01,2264689,2328304197
108/12,2606195,2542718319
108/11,2566231,2357511471
108/10,1985353,1780419320
108/09,1895236,1484952355
108/08,1393732,1279122905
108/07,1314534,1065919400
108/06,1392711,916344802
108/05,1292363,895525066
108/04,1140366,819680650
108/03,1049162,717870189
108/02,2753669,1187103030
108/01,859282,651256051
107/12,799801,552907651
107/11,755179,504480049
107/10,693900,395713573
107/09,15023655,845631988

================================================================================
[8] EP007X_儲值卡支付工具別交易資料維護
================================================================================
資料月份,筆數,交易金額,交易卡數
115/02,1959893,549693146,1140144
115/01,2021973,566919749,1104642
114/12,2210434,624050557,1187915
114/11,2088536,608186580,1125380
114/10,2125979,615760695,1138751
114/09,1987464,577479922,1065936
114/08,2169858,607941665,1148851
114/07,2005858,566895025,1068390
114/06,1980969,550514875,1058557
114/05,2067995,646557734,1118458
114/04,1998244,565731199,1100036
114/03,1974498,576084025,1074937
114/02,1860458,517374270,1072801
114/01,2009605,544309763,1138192
113/12,2174440,601505627,1162089
113/11,2002695,570741120,1076580
113/10,1891998,546567294,1048203
113/09,1992584,810623400,1110920
113/08,2062167,572404696,1107046
113/07,1907409,539050526,1043165
113/06,1998698,549033279,1095667
113/05,2044725,573096039,1079798
113/04,1967428,567759598,1085189
113/03,2067047,575453328,1121917
113/02,2005755,548024574,1185412
113/01,2018088,552212068,1112523
112/12,2207259,604221675,1178800
112/11,1984024,563045757,1074127
112/10,2052266,582551281,1110336
112/09,1960861,734445962,1086770
112/08,2073669,694283063,1128371
112/07,2026775,569439319,1091883
112/06,2072166,588621325,1085616
112/05,2160874,636017331,1093628
112/04,2218507,618066049,1156166
112/03,2226967,633519967,1105973
112/02,2100177,574283388,1126934
112/01,2195025,596787502,1199468
111/12,2379093,657008332,1170890
111/11,2141978,607527896,1069671
111/10,2173294,611356029,1092867
111/09,1984713,565395558,1021508
111/08,2082942,584982891,1054570
111/07,1932126,544753054,971796
111/06,1511319,445809159,780809
111/05,1456576,436697479,761528
111/04,1897825,524457390,1010775
111/03,2183160,615914659,1081256
111/02,1811088,498789242,1019899
111/01,1932058,542317235,1013949
110/12,2367471,648053294,1170405
110/11,2093238,594749146,1050814
110/10,2069070,584504365,1029139
110/09,1618383,481474477,830784
110/08,1373235,424801439,713670
110/07,910105,327296094,480051

================================================================================
[9] EP008W_電子支付機構特約機構交易資料維護
================================================================================
資料月份,截至本月底
特約機構數,收款筆數,收款金額
115/02,161287,22955276,1786757918
115/01,161778,25866224,1939119942
114/12,169715,28346518,2252080610
114/11,169634,34780433,4588485271
114/10,170430,35606717,4433111095
114/09,170985,34544996,4535009565
114/08,171183,35189625,4672809575
114/07,171162,33841137,4687910350
