yr,mn,ym,sn,cardname,b,d,editable,b2,c,c2,d2,k,k2,l,l2,n,n2,n_tot,n2_tot,p,p2,p_tot,p2_tot,機構名稱,資料月份,卡片名稱,發卡總數,流通卡數,當月發卡數,當月停卡數,當月贖回金額,當月偽冒停卡張數,當年度累計偽冒停卡張數,當月偽冒損失金額,當年度累計偽冒損失金額,維護部門名稱,主管姓名,主管電話,承辦人姓名,承辦人電話,承辦人E-MAIL,e,e2,f,f2,g,g2,h,h2,i,i2,j,j2,m,m2,當月儲(加)值金額,當月儲(加)值卡數,當月儲(加)值次數,當月消費金額,當月消費卡數,當月消費次數,儲值總餘額
114,4,114/04,3,一卡通,52705439,299757,false,51785511,40328870,39410237,299757,220370,220370,13714228,13714228,34,34,69,69,52830,52830,54185,54185,一卡通票證股份有限公司,114 年 04 月,一卡通,52705439,40328870,299757,220370,13714228,34,69,52830,54185,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
114,3,114/03,3,一卡通,52405682,401851,false,51485754,40249483,39330850,401851,212611,212611,11173161,11173161,11,11,35,35,1355,1355,1355,1355,一卡通票證股份有限公司,114 年 03 月,一卡通,52405682,40249483,401851,212611,11173161,11,35,1355,1355,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
114,2,114/02,3,一卡通,52003831,495474,false,51083903,40060243,39141610,495474,204442,204442,14369068,14369068,2,2,24,24,0,0,0,0,一卡通票證股份有限公司,114 年 02 月,一卡通,52003831,40060243,495474,204442,14369068,2,24,0,0,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
114,1,114/01,3,一卡通,51508357,433312,false,50588429,39769211,38850578,433312,263744,263744,10407026,10407026,22,22,22,22,0,0,0,0,一卡通票證股份有限公司,114 年 01 月,一卡通,51508357,39769211,433312,263744,10407026,22,22,0,0,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
113,12,113/12,3,一卡通,51075045,356068,false,50155117,39599643,38681010,356068,289106,289106,17583883,17583883,43,43,110,110,6000,6000,39331647,39331647,一卡通票證股份有限公司,113 年 12 月,一卡通,51075045,39599643,356068,289106,17583883,43,110,6000,39331647,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
113,11,113/11,3,一卡通,50760033,514255,false,50718977,39573597,39532681,514255,264592,264592,14968360,14968360,20,20,67,67,9328386,9328386,39325647,39325647,一卡通票證股份有限公司,113 年 11 月,一卡通,50760033,39573597,514255,264592,14968360,20,67,9328386,39325647,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
113,10,113/10,3,一卡通,50245767,403880,false,50204722,39323923,39283018,1282763,246000,246000,13954622,13954622,16,16,47,47,159141,159141,29997261,29997261,一卡通票證股份有限公司,113 年 10 月,一卡通,50245767,39323923,403880,246000,13954622,16,47,159141,29997261,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
113,9,113/09,3,一卡通,49841887,399165,false,48921959,39166043,38247410,399165,239880,239880,15628051,15628051,18,18,31,31,125,125,29838120,29838120,一卡通票證股份有限公司,113 年 09 月,一卡通,49841887,39166043,399165,239880,15628051,18,31,125,29838120,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
113,8,113/08,3,一卡通,49442722,507093,false,48522794,39006758,38088125,507093,244051,244051,15013474,15013474,7,7,13,13,26246640,26246640,29837995,29837995,一卡通票證股份有限公司,113 年 08 月,一卡通,49442722,39006758,507093,244051,15013474,7,13,26246640,29837995,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
113,7,113/07,3,一卡通,48935629,473333,false,48015701,38743716,37825083,473333,267157,267157,15857406,15857406,0,0,6,6,0,0,3591355,3591355,一卡通票證股份有限公司,113 年 07 月,一卡通,48935629,38743716,473333,267157,15857406,0,6,0,3591355,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
113,6,113/06,3,一卡通,48462296,537736,false,47542368,38537540,37618907,537736,246505,246505,17383610,48462296,0,0,6,6,0,0,3591355,3591355,一卡通票證股份有限公司,113 年 06 月,一卡通,48462296,38537540,537736,246505,17383610,0,6,0,3591355,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
113,5,113/05,3,一卡通,47924560,564160,false,47004632,38246309,37327676,564160,295956,295956,21375332,21375332,0,0,6,6,0,0,3591355,3591355,一卡通票證股份有限公司,113 年 05 月,一卡通,47924560,38246309,564160,295956,21375332,0,6,0,3591355,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
113,4,113/04,3,一卡通,47360400,457097,false,46440472,37978105,37059471,457097,288323,288323,17121865,17121865,1,1,6,6,17,17,3591355,3591355,一卡通票證股份有限公司,113 年 04 月,一卡通,47360400,37978105,457097,288323,17121865,1,6,17,3591355,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
113,3,113/03,3,一卡通,46903303,627136,false,45983375,37809331,36890697,627136,162719,162719,8397158,8397158,4,4,5,5,3591338,3591338,3591338,3591338,一卡通票證股份有限公司,113 年 03 月,一卡通,46903303,37809331,627136,162719,8397158,4,5,3591338,3591338,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
113,2,113/02,3,一卡通,46276167,550294,false,45356239,37344914,36426280,550294,291466,291466,18472556,18472556,0,0,1,1,0,0,0,0,一卡通票證股份有限公司,113 年 02 月,一卡通,46276167,37344914,550294,291466,18472556,0,1,0,0,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
113,1,113/01,3,一卡通,45725873,444943,false,44805945,37086086,36167451,444943,210028,210028,14133616,14133616,1,1,1,1,0,0,0,0,一卡通票證股份有限公司,113 年 01 月,一卡通,45725873,37086086,444943,210028,14133616,1,1,0,0,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
112,12,112/12,3,一卡通,45280959,573530,false,44361002,36851200,35932536,573530,167008,167008,11768871,11768871,0,0,15,15,0,0,28,28,一卡通票證股份有限公司,112 年 12 月,一卡通,45280959,36851200,573530,167008,11768871,0,15,0,28,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
112,11,112/11,3,一卡通,44707429,461184,false,43787472,36444678,35526014,461184,181561,181561,11792432,11792432,1,1,15,15,0,0,28,28,一卡通票證股份有限公司,112 年 11 月,一卡通,44707429,36444678,461184,181561,11792432,1,15,0,28,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
112,10,112/10,3,一卡通,44246245,423936,false,43326288,36165055,35246391,423936,167796,167796,10934346,10934346,0,0,14,14,0,0,28,28,一卡通票證股份有限公司,112 年 10 月,一卡通,44246245,36165055,423936,167796,10934346,0,14,0,28,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
112,9,112/09,3,一卡通,43822309,518864,false,42902352,35908915,34990251,518864,197256,197256,13996259,13996259,2,2,14,14,0,0,28,28,一卡通票證股份有限公司,112 年 09 月,一卡通,43822309,35908915,518864,197256,13996259,2,14,0,28,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
112,8,112/08,3,一卡通,43303445,736704,false,42383488,35587307,34668643,737504,216678,216678,12627576,12627576,0,0,12,12,0,0,28,28,一卡通票證股份有限公司,112 年 08 月,一卡通,43303445,35587307,736704,216678,12627576,0,12,0,28,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
112,7,112/07,3,一卡通,42566741,391384,false,41645984,35067281,34147816,391784,166168,166168,11801239,11801239,1,1,12,12,0,0,28,28,一卡通票證股份有限公司,112 年 07 月,一卡通,42566741,35067281,391384,166168,11801239,1,12,0,28,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
112,6,112/06,3,一卡通,42175357,456546,false,41254200,34842065,33922199,456546,158224,158224,11446257,11446257,1,1,11,11,0,0,28,28,一卡通票證股份有限公司,112 年 06 月,一卡通,42175357,34842065,456546,158224,11446257,1,11,0,28,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
112,5,112/05,3,一卡通,41718811,457571,false,40797654,34543743,33623877,457571,162806,162806,12523545,12523545,6,6,10,10,0,0,28,28,一卡通票證股份有限公司,112 年 05 月,一卡通,41718811,34543743,457571,162806,12523545,6,10,0,28,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
112,4,112/04,3,一卡通,41261240,459786,false,40340083,34248978,33329112,459786,158621,158621,12215619,12215619,0,0,4,4,0,0,28,28,一卡通票證股份有限公司,112 年 04 月,一卡通,41261240,34248978,459786,158621,12215619,0,4,0,28,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
112,3,112/03,3,一卡通,40801454,545349,false,39880297,33947813,33027947,545349,158742,158742,11595953,11595953,2,2,4,4,28,28,28,28,一卡通票證股份有限公司,112 年 03 月,一卡通,40801454,33947813,545349,158742,11595953,2,4,28,28,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
112,2,112/02,3,一卡通,40256105,479842,false,39334948,33561206,32641339,479842,161523,161523,10198805,10198805,0,0,2,2,0,0,0,0,一卡通票證股份有限公司,112 年 02 月,一卡通,40256105,33561206,479842,161523,10198805,0,2,0,0,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
112,1,112/01,3,一卡通,39776263,491906,false,38855106,33242887,32323020,491906,125719,125719,9291954,9291954,2,2,2,2,0,0,0,0,一卡通票證股份有限公司,112 年 01 月,一卡通,39776263,33242887,491906,125719,9291954,2,2,0,0,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
111,12,111/12,3,一卡通,39284357,409274,false,38363200,32876700,31956833,405873,146530,146530,8626837,8626837,0,0,21,21,0,0,0,0,一卡通票證股份有限公司,111 年 12 月,一卡通,39284357,32876700,409274,146530,8626837,0,21,0,0,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
111,11,111/11,3,一卡通,38875083,466086,false,37957327,32613956,31697490,464436,132204,132204,8431863,8431863,6,6,21,21,0,0,0,0,一卡通票證股份有限公司,111 年 11 月,一卡通,38875083,32613956,466086,132204,8431863,6,21,0,0,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
111,10,111/10,3,一卡通,38408997,453723,false,37492891,32280074,31365258,453723,127979,127979,8234656,8234656,0,0,15,15,0,0,0,0,一卡通票證股份有限公司,111 年 10 月,一卡通,38408997,32280074,453723,127979,8234656,0,15,0,0,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
111,9,111/09,3,一卡通,37955274,484028,false,37039168,31954330,31039514,484028,126288,126288,8216878,8216878,4,4,15,15,0,0,0,0,一卡通票證股份有限公司,111 年 09 月,一卡通,37955274,31954330,484028,126288,8216878,4,15,0,0,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
111,8,111/08,3,一卡通,37471246,575387,false,36555140,31596590,30681774,575387,121609,121609,8007402,8007402,2,2,11,11,0,0,0,0,一卡通票證股份有限公司,111 年 08 月,一卡通,37471246,31596590,575387,121609,8007402,2,11,0,0,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
111,7,111/07,3,一卡通,36895859,554211,false,35979753,31142812,30227996,554211,23735,23735,7990503,7990503,3,3,9,9,0,0,0,0,一卡通票證股份有限公司,111 年 07 月,一卡通,36895859,31142812,554211,23735,7990503,3,9,0,0,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
111,6,111/06,3,一卡通,36341648,455473,false,35425542,30612336,29697520,455473,221474,221474,8148316,8148316,1,1,6,6,0,0,0,0,一卡通票證股份有限公司,111 年 06 月,一卡通,36341648,30612336,455473,221474,8148316,1,6,0,0,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
111,5,111/05,3,一卡通,35886175,335733,false,34970069,30378337,29463521,335733,114117,114117,6703676,6703676,0,0,5,5,0,0,0,0,一卡通票證股份有限公司,111 年 05 月,一卡通,35886175,30378337,335733,114117,6703676,0,5,0,0,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
111,4,111/04,3,一卡通,35550442,417281,false,34634336,30156721,29241905,417281,99288,99288,8114123,8114123,0,0,5,5,0,0,0,0,一卡通票證股份有限公司,111 年 04 月,一卡通,35550442,30156721,417281,99288,8114123,0,5,0,0,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
111,3,111/03,3,一卡通,35133161,488766,false,34217055,29838728,28923912,488766,126271,126271,7536714,7536714,1,1,5,5,0,0,0,0,一卡通票證股份有限公司,111 年 03 月,一卡通,35133161,29838728,488766,126271,7536714,1,5,0,0,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
111,2,111/02,3,一卡通,34644395,398649,false,33728289,29476233,28561417,398649,103985,103985,6914464,6914464,1,1,4,4,0,0,0,0,一卡通票證股份有限公司,111 年 02 月,一卡通,34644395,29476233,398649,103985,6914464,1,4,0,0,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
111,1,111/01,3,一卡通,34245746,389717,false,33329640,29181569,28266753,389717,112270,112270,6346824,6346824,3,3,3,3,0,0,0,0,一卡通票證股份有限公司,111 年 01 月,一卡通,34245746,29181569,389717,112270,6346824,3,3,0,0,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
110,12,110/12,3,一卡通,33856029,412844,false,32939923,28904122,27989306,412544,101299,101299,5482404,5482404,1,1,29,25,0,0,0,0,一卡通票證股份有限公司,110 年 12 月,一卡通,33856029,28904122,412844,101299,5482404,1,29,0,0,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
110,11,110/11,3,一卡通,33443185,425087,false,32527379,28592577,27678061,424197,102365,102365,6197366,6197366,0,0,28,24,0,0,0,0,一卡通票證股份有限公司,110 年 11 月,一卡通,33443185,28592577,425087,102365,6197366,0,28,0,0,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
110,10,110/10,3,一卡通,33018098,454279,false,32103182,28269855,27356229,454279,87910,87910,5082914,5082914,0,0,28,24,0,0,0,0,一卡通票證股份有限公司,110 年 10 月,一卡通,33018098,28269855,454279,87910,5082914,0,28,0,0,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
110,9,110/09,3,一卡通,32563819,453316,false,31648903,27903486,26989860,453316,81986,81986,4990377,4990377,2,2,28,24,0,0,0,0,一卡通票證股份有限公司,110 年 09 月,一卡通,32563819,27903486,453316,81986,4990377,2,28,0,0,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
110,8,110/08,3,一卡通,32110503,401487,false,31195587,27532156,26618530,401487,83706,83706,5123999,5123999,4,0,26,22,0,0,0,0,一卡通票證股份有限公司,110 年 08 月,一卡通,32110503,27532156,401487,83706,5123999,4,26,0,0,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
110,7,110/07,3,一卡通,31709016,374024,false,30794100,27214375,26300749,374024,100563,100563,5827507,5827507,2,2,22,22,0,0,0,0,一卡通票證股份有限公司,110 年 07 月,一卡通,31709016,27214375,374024,100563,5827507,2,22,0,0,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,
110,6,110/06,3,一卡通,31334992,287098,false,30420076,26940914,26027288,287098,68253,68253,4027092,4027092,5,5,20,20,0,0,0,0,一卡通票證股份有限公司,110 年 06 月,一卡通,31334992,26940914,287098,68253,4027092,5,20,0,0,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,266732392,266732392,201779,201779,374578,374578,258782876,258782876,652906,652902,6947423,6947415,1674157846,1674157846,266732392,201779,374578,258782876,652906,6947423,1674157846
110,5,110/05,3,一卡通,31047894,323052,false,30132978,26722069,25808443,323052,76306,76306,5142486,5142486,2,2,15,15,0,0,0,0,一卡通票證股份有限公司,110 年 05 月,一卡通,31047894,26722069,323052,76306,5142486,2,15,0,0,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,504136686,504136686,651289,651289,1156622,1156622,491730857,491730857,1536244,1536237,19390643,19390611,1670235422,1670235422,504136686,651289,1156622,491730857,1536244,19390643,1670235422
110,4,110/04,3,一卡通,30724842,319199,false,29809926,26475323,25561697,319199,88454,88454,6560570,6560570,2,2,13,13,0,0,0,0,一卡通票證股份有限公司,110 年 04 月,一卡通,30724842,26475323,319199,88454,6560570,2,13,0,0,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,657965908,657965908,971252,971252,2007980,2007980,643186891,643186891,2002611,2002608,31847499,31847425,1662972079,1662972079,657965908,971252,2007980,643186891,2002611,31847499,1662972079
110,3,110/03,3,一卡通,30405643,346452,false,29490727,26244578,25330952,346452,97626,97626,5492659,5492659,7,7,11,11,0,0,0,0,一卡通票證股份有限公司,110 年 03 月,一卡通,30405643,26244578,346452,97626,5492659,7,11,0,0,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,675467459,675467459,928007,928007,1989690,1989690,656447567,656447567,1956548,1956544,33278770,33278697,1654753632,1654753632,675467459,928007,1989690,656447567,1956548,33278770,1654753632
110,2,110/02,3,一卡通,30059191,223032,false,29144275,25995752,25082126,223032,92744,92744,5808645,5808645,3,3,4,4,0,0,0,0,一卡通票證股份有限公司,110 年 02 月,一卡通,30059191,25995752,223032,92744,5808645,3,4,0,0,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,566543682,566543682,956225,956225,1768579,1768579,534745069,534745069,1964138,1964134,25311614,25311563,1641226399,1641226399,566543682,956225,1768579,534745069,1964138,25311614,1641226399
110,1,110/01,3,一卡通,29836159,341535,false,28921243,25865464,24951838,341535,108545,108545,6848927,6848927,1,1,1,1,0,0,0,0,一卡通票證股份有限公司,110 年 01 月,一卡通,29836159,25865464,341535,108545,6848927,1,1,0,0,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,653853366,653853366,941353,941353,1931861,1931861,641126753,641126753,1964351,1964344,30374366,30374334,1615236431,1615236431,653853366,941353,1931861,641126753,1964351,30374366,1615236431
109,12,109/12,3,一卡通,29283581,333718,false,28368665,25419528,24505901,333718,104922,104922,7088139,7088139,4,4,38,8,0,0,16,0,一卡通票證股份有限公司,109 年 12 月,一卡通,29283581,25419528,333718,104922,7088139,4,38,0,16,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,713412635,713412635,1007310,1007310,2166378,2166378,698999953,698999953,2059183,2059164,35035669,35035623,1609358745,1609358745,713412635,1007310,2166378,698999953,2059183,35035669,1609358745
109,11,109/11,3,一卡通,28949863,271356,false,28034947,25182841,24267946,271356,82318,82318,5044560,5044560,2,2,34,4,0,0,16,0,一卡通票證股份有限公司,109 年 11 月,一卡通,28949863,25182841,271356,82318,5044560,2,34,0,16,營運產品群票證營運部,林宏奕,07-7933000#653,鄭貽文,07-7933000#510,000298@i-pass.com.tw,684121838,684121838,952756,952756,1999197,1999197,664498022,664498022,2009871,2009871,33023778,33023771,1603377581,1603377581,684121838,952756,1999197,664498022,2009871,33023778,1603377581
