yr,mn,ym,c1,c2,c3,editable,[0].amt,[1].amt,[2].amt,[3].amt,[4].amt,[5].amt,[6].amt,[7].amt,[8].amt,[9].amt,[10].amt,[11].amt,[12].amt,[13].amt,[14].amt,[15].amt,[16].amt,[17].amt,[18].amt,[19].amt,[20].amt,[21].amt,[22].amt,[23].amt,_1900A,_1900B,_1900C,機構名稱,申訴類別,新增案件數,註冊、開戶或記名問題,儲值卡購買及持有問題,手續費等各種收費問題,使用問題,款項退還及退款問題,款項提領問題,偽冒交易問題,其他,小計,維護部門名稱,主管姓名,主管電話,承辦人姓名,承辦人電話,承辦人E-MAIL,[24].amt,[25].amt,[26].amt,[27].amt,[28].amt,[29].amt,[30].amt,[31].amt,[32].amt,[33].amt,[34].amt,[35].amt,[36].amt,[37].amt,[38].amt,[39].amt,[40].amt,[41].amt,_2900A,_2900B,_2900C,_3000A,_3000B,_3000C,項目,代理收付實質交易款項、收受儲值款項、電子支付帳戶間款項移轉業務,退款問題,與境外機構合作或協助從事電子支付機構業務相關行為,總計
114,2,114/02,27042,27033,9,false,18428,18427,1,1290,1290,0,22,22,0,3201,3198,3,1251,1248,3,143,143,0,0,0,0,2707,2705,2,27042,27033,9,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],18428,1290,22,3201,1251,143,0,2707,27042,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,1,114/01,29940,29932,8,false,22067,22063,4,1022,1022,0,21,21,0,2927,2924,3,1224,1223,1,171,171,0,0,0,0,2508,2508,0,29940,29932,8,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],22067,1022,21,2927,1224,171,0,2508,29940,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,12,113/12,29761,29761,0,false,20832,20832,0,1261,1261,0,37,37,0,3522,3522,0,1319,1319,0,267,267,0,0,0,0,2523,2523,0,29761,29761,0,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],20832,1261,37,3522,1319,267,0,2523,29761,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,11,113/11,28530,28528,4,false,19409,19407,2,1172,1172,0,69,69,0,3605,3605,2,1285,1285,0,189,189,0,0,0,0,2801,2801,0,28530,28528,4,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],19409,1172,69,3605,1285,189,0,2801,28530,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,10,113/10,27208,27196,12,false,18338,18332,6,1151,1151,0,88,88,0,3447,3447,0,1323,1317,6,250,250,0,0,0,0,2611,2611,0,27208,27196,12,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],18338,1151,88,3447,1323,250,0,2611,27208,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,9,113/09,29432,29402,30,false,19230,19221,9,1258,1258,0,85,85,0,3901,3897,4,1349,1347,2,255,255,0,0,0,0,3354,3339,15,29432,29402,30,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],19230,1258,85,3901,1349,255,0,3354,29432,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,8,113/08,30078,30069,9,false,20289,20288,1,1342,1342,0,75,75,0,3839,3832,7,1442,1441,1,274,274,0,0,0,0,2817,2817,0,30078,30069,9,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],20289,1342,75,3839,1442,274,0,2817,30078,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,7,113/07,27518,27509,9,false,18559,18554,5,1171,1171,0,109,109,0,3687,3683,4,1326,1326,0,270,270,0,0,0,0,2396,2396,0,27518,27509,9,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],18559,1171,109,3687,1326,270,0,2396,27518,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,6,113/06,25151,25147,4,false,16651,16650,1,1126,1126,0,77,77,0,3447,3446,1,1379,1378,1,351,351,0,0,0,0,2120,2119,1,25151,25147,4,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],16651,1126,77,3447,1379,351,0,2120,25151,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,5,113/05,25503,25499,8,false,16855,16851,4,1132,1132,0,79,79,0,3567,3567,0,1446,1446,0,294,294,0,0,0,0,2130,2130,4,25503,25499,8,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],16855,1132,79,3567,1446,294,0,2130,25503,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,4,113/04,25802,25799,3,false,16198,16197,1,1291,1290,1,95,95,0,3500,3499,1,1408,1408,0,290,290,0,0,0,0,3020,3020,0,25802,25799,3,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],16198,1291,95,3500,1408,290,0,3020,25802,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,3,113/03,27531,27526,5,false,16773,16769,4,1358,1358,0,90,90,0,3884,3884,0,1539,1538,1,763,763,0,0,0,0,3124,3124,0,27531,27526,5,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],16773,1358,90,3884,1539,763,0,3124,27531,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,2,113/02,30480,30476,4,false,20504,20502,2,1292,1292,0,85,85,0,3584,3583,1,1255,1254,1,250,250,0,0,0,0,3510,3510,0,30480,30476,4,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],20504,1292,85,3584,1255,250,0,3510,30480,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,1,113/01,27937,27934,3,false,17668,17665,3,1395,1395,0,48,48,0,4498,4498,0,1594,1594,0,282,282,0,0,0,0,2452,2452,0,27937,27934,3,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],17668,1395,48,4498,1594,282,0,2452,27937,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,12,112/12,28107,28103,4,false,17787,17785,2,1448,1447,1,112,112,0,3769,3768,1,1323,1323,0,281,281,0,0,0,0,3387,3387,0,28107,28103,4,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],17787,1448,112,3769,1323,281,0,3387,28107,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,11,112/11,22346,22346,0,false,15103,15103,0,122,122,0,98,98,0,3602,3602,0,1265,1265,0,293,293,0,0,0,0,1863,1863,0,22346,22346,0,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],15103,122,98,3602,1265,293,0,1863,22346,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,10,112/10,23729,23724,5,false,14150,14148,2,1363,1362,1,133,133,0,3550,3549,1,1245,1245,0,313,313,0,0,0,0,2975,2974,1,23729,23724,5,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],14150,1363,133,3550,1245,313,0,2975,23729,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,9,112/09,20241,20235,6,false,12356,12355,1,1203,1203,0,142,142,0,3221,3218,3,1308,1307,1,237,236,1,0,0,0,1774,1774,0,20241,20235,6,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],12356,1203,142,3221,1308,237,0,1774,20241,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,8,112/08,22332,22322,10,false,13192,13183,9,1234,1233,1,176,176,0,3487,3487,0,1365,1365,0,209,209,0,0,0,0,2669,2669,0,22332,22322,10,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],13192,1234,176,3487,1365,209,0,2669,22332,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,7,112/07,20169,20163,6,false,12136,12136,0,1236,1236,0,144,144,0,3663,3658,5,1224,1224,0,277,277,0,0,0,0,1489,1488,1,20169,20163,6,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],12136,1236,144,3663,1224,277,0,1489,20169,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,6,112/06,20529,20525,4,false,12685,12684,1,1170,1170,0,260,260,0,3002,2999,3,1165,1165,0,323,323,0,0,0,0,1924,1924,0,20529,20525,4,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],12685,1170,260,3002,1165,323,0,1924,20529,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,5,112/05,19991,19989,2,false,12785,12783,2,946,946,0,368,368,0,2781,2781,0,1036,1036,0,285,285,0,0,0,0,1790,1790,0,19991,19989,2,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],12785,946,368,2781,1036,285,0,1790,19991,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,4,112/04,21075,21052,23,false,12450,12445,5,1077,1077,0,146,145,1,4041,4031,10,727,725,2,448,448,0,0,0,0,2186,2181,5,21075,21052,23,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],12450,1077,146,4041,727,448,0,2186,21075,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,3,112/03,24798,24786,12,false,14524,14519,5,1200,1200,0,58,57,1,5121,5118,3,1107,1105,2,504,504,0,0,0,0,2284,2283,1,24798,24786,12,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],14524,1200,58,5121,1107,504,0,2284,24798,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,2,112/02,22943,22891,52,false,14250,14216,34,1158,1158,0,47,47,0,4226,4216,10,992,990,2,296,291,5,0,0,0,1974,1973,1,22943,22891,52,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],14250,1158,47,4226,992,296,0,1974,22943,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,1,112/01,29367,29248,119,false,17638,17540,98,976,976,0,63,63,0,6015,6003,12,2028,2022,6,775,774,1,0,0,0,1872,1870,2,29367,29248,119,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],17638,976,63,6015,2028,775,0,1872,29367,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,12,111/12,23280,23149,131,false,13812,13694,118,1146,1146,0,43,42,1,4621,4613,8,1124,1123,1,412,409,3,0,0,0,2122,2122,0,23280,23149,131,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],13812,1146,43,4621,1124,412,0,2122,23280,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,11,111/11,21411,20707,704,false,12861,12507,354,980,980,0,60,59,1,4091,4019,72,1042,1006,36,353,328,25,0,0,0,2024,1808,216,21411,20707,704,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],12861,980,60,4091,1042,353,0,2024,21411,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,10,111/10,24056,20756,3300,true,15869,12604,3265,729,729,0,116,116,0,3738,3723,15,1346,1345,1,395,389,6,0,0,0,1863,1850,13,24056,20756,3300,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],15869,729,116,3738,1346,395,0,1863,24056,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,9,111/09,40630,31707,8923,false,32144,24060,8084,747,747,0,51,51,0,4244,4042,202,1684,1164,520,325,270,55,0,0,0,1435,1373,62,40630,31707,8923,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],32144,747,51,4244,1684,325,0,1435,40630,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,8,111/08,24658,23124,1534,false,15840,14631,1209,670,670,0,121,121,0,4454,4314,140,1264,1150,114,333,288,45,0,0,0,1976,1950,26,24658,23124,1534,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],15840,670,121,4454,1264,333,0,1976,24658,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,7,111/07,27041,26348,693,false,18150,17588,562,508,508,0,57,57,0,4498,4404,94,1384,1384,0,308,290,18,0,0,0,2136,2117,19,27041,26348,693,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],18150,508,57,4498,1384,308,0,2136,27041,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,6,111/06,20895,20307,588,false,12025,11515,510,415,415,0,147,146,1,4060,4041,19,1564,1564,0,400,399,1,0,0,0,2284,2227,57,20895,20307,588,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],12025,415,147,4060,1564,400,0,2284,20895,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,5,111/05,22594,22349,245,false,14245,14052,193,489,489,0,90,90,0,3901,3889,12,1326,1325,1,343,343,0,0,0,0,2200,2161,39,22594,22349,245,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],14245,489,90,3901,1326,343,0,2200,22594,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,4,111/04,23332,23109,223,false,13036,12853,183,582,582,0,131,131,0,4522,4510,12,1398,1394,4,366,362,4,0,0,0,3297,3277,20,23332,23109,223,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],13036,582,131,4522,1398,366,0,3297,23332,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,3,111/03,26551,26308,243,false,15427,15199,228,814,814,0,167,167,0,5179,5170,9,1616,1615,1,381,381,0,0,0,0,2967,2962,5,26551,26308,243,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],15427,814,167,5179,1616,381,0,2967,26551,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,2,111/02,25485,25161,324,false,16301,16084,217,711,711,0,155,155,0,3779,3734,45,1744,1737,7,333,305,28,0,0,0,2462,2435,27,25485,25161,324,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],16301,711,155,3779,1744,333,0,2462,25485,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,1,111/01,26428,26169,259,false,15911,15701,210,764,764,0,130,130,0,4588,4575,13,1629,1620,9,402,399,3,0,0,0,3004,2980,24,26428,26169,259,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],15911,764,130,4588,1629,402,0,3004,26428,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,12,110/12,26829,26339,490,false,15936,15585,351,64,64,0,93,93,0,4729,4655,74,1539,1537,2,379,363,16,0,0,0,4089,4042,47,26829,26339,490,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],15936,64,93,4729,1539,379,0,4089,26829,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,11,110/11,27667,25930,1737,false,16318,15600,718,661,661,0,92,92,0,4876,4431,445,1396,1215,181,447,339,108,0,0,0,3877,3592,285,27667,25930,1737,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],16318,661,92,4876,1396,447,0,3877,27667,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,10,110/10,31645,30045,1600,false,16249,15652,597,488,488,0,131,131,0,5057,4531,526,966,811,155,452,407,45,0,0,0,8302,8025,277,31645,30045,1600,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],16249,488,131,5057,966,452,0,8302,31645,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,9,110/09,28930,28709,221,false,17134,17008,126,683,683,0,100,100,0,4179,4165,14,848,846,2,408,408,0,0,0,0,5578,5499,79,28930,28709,221,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],17134,683,100,4179,848,408,0,5578,28930,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,8,110/08,27774,27460,314,false,17884,17587,297,583,583,0,161,161,0,4107,4093,14,858,857,1,348,348,0,0,0,0,3833,3831,2,27774,27460,314,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],17884,583,161,4107,858,348,0,3833,27774,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,7,110/07,27692,27405,287,false,18826,18585,241,401,401,0,141,141,0,3790,3750,40,880,878,2,365,364,1,0,0,0,3289,3286,3,27692,27405,287,一卡通票證股份有限公司,本月新增申訴案件,已完結案件數[1],18826,401,141,3790,880,365,0,3289,27692,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,6,110/06,23986,23615,371,false,19625,19339,286,145,145,0,1506,1457,49,743,741,2,330,319,11,0,0,0,1637,1614,23,0,0,0,23986,23615,371,一卡通票證股份有限公司,,已完結案件數[1],,,0,0,,0,0,0,0,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23986,23615,371,申訴類別,註冊或開戶問題,0,註冊或開戶問題,23986
110,5,110/05,22169,21820,349,false,16600,16323,277,105,105,0,1687,1638,49,668,660,8,247,246,1,0,0,0,2862,2848,14,0,0,0,22169,21820,349,一卡通票證股份有限公司,,已完結案件數[1],,,0,0,,0,0,0,0,營運產品群客服部,林宏奕,07-7933000#653,陳治慧,07-7933000#506,000595@i-pass.com.tw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22169,21820,349,申訴類別,註冊或開戶問題,0,註冊或開戶問題,22169
