yr,mn,ym,c1,c2,editable,_url,[0].amt,[1].amt,[2].amt,[3].amt,[4].amt,[5].amt,_1900A,_1900B,機構名稱,核准業務別,代理收付實質交易款項,收受儲值款項,電子支付帳戶間款項移轉,總計,維護部門名稱,主管姓名,主管電話,承辦人姓名,承辦人電話,承辦人E-MAIL
112,1,112/01,5514193,5514193,false,,3328396,652258468,0,0,823,2783372,3329219,655041840,一卡通票證股份有限公司,筆數,3328396,0,823,3329219,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
111,12,111/12,5402511,5402511,false,,3404062,597138475,0,0,777,2366132,3404839,599504607,一卡通票證股份有限公司,筆數,3404062,0,777,3404839,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
111,11,111/11,5351135,5351135,false,,3327366,535475582,0,0,687,2223997,3328053,537699579,一卡通票證股份有限公司,筆數,3327366,0,687,3328053,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
111,10,111/10,5302337,5302337,false,,3277981,551379612,0,0,717,2391086,3278698,553770698,一卡通票證股份有限公司,筆數,3277981,0,717,3278698,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
111,9,111/09,5241674,5241674,false,,3021086,498021119,0,0,578,1872616,3021664,499893735,一卡通票證股份有限公司,筆數,3021086,0,578,3021664,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
111,8,111/08,5176764,5176764,false,,3123136,517247290,0,0,564,1957463,3123700,519204753,一卡通票證股份有限公司,筆數,3123136,0,564,3123700,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
111,7,111/07,5106784,5106784,false,,2996108,497071270,0,0,812,4718679,2996920,501789949,一卡通票證股份有限公司,筆數,2996108,0,812,2996920,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
111,6,111/06,5042426,5042426,false,,2626436,423338602,0,0,902,12236247,2627338,435574849,一卡通票證股份有限公司,筆數,2626436,0,902,2627338,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
111,5,111/05,4980546,4980546,false,,2803962,453964328,0,0,592,2289049,2804554,456253377,一卡通票證股份有限公司,筆數,2803962,0,592,2804554,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
111,4,111/04,4913416,4913416,false,,3049195,505674641,0,0,860,5109355,3050055,510783996,一卡通票證股份有限公司,筆數,3049195,0,860,3050055,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
111,3,111/03,4829036,4829036,false,,3254588,501138011,0,0,1074,5538030,3255662,506676041,一卡通票證股份有限公司,筆數,3254588,0,1074,3255662,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
111,2,111/02,4759141,4759141,false,,2729556,483074888,0,0,630,2342032,2730186,485416920,一卡通票證股份有限公司,筆數,2729556,0,630,2730186,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
111,1,111/01,4682595,4682595,false,,3212789,562537729,0,0,1245,7673836,3214034,570211565,一卡通票證股份有限公司,筆數,3212789,0,1245,3214034,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
110,12,110/12,4556549,4556549,false,,3596009,597135047,0,0,2755,6919436,3598764,604054483,一卡通票證股份有限公司,筆數,3596009,0,2755,3598764,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
110,11,110/11,4498846,4498846,false,,6915443,1231391961,0,0,322,63087,6915765,1231455048,一卡通票證股份有限公司,筆數,6915443,0,322,6915765,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
110,10,110/10,4406335,4406335,false,,4623026,891656945,0,0,454,1290771,4623480,892947716,一卡通票證股份有限公司,筆數,4623026,0,454,4623480,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
110,9,110/09,4286431,4286431,false,,6470765,1104872257,0,0,121,73912,6470886,1104946169,一卡通票證股份有限公司,筆數,6470765,0,121,6470886,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
110,8,110/08,4141280,4141280,false,,5560214,1051521865,0,0,98,99368,5560312,1051621233,一卡通票證股份有限公司,筆數,5560214,0,98,5560312,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
110,7,110/07,4020873,4020873,false,,4383788,810067341,0,0,154,97963,4383942,810165304,一卡通票證股份有限公司,筆數,4383788,0,154,4383942,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
110,6,110/06,3811385,0,false,,3218593,653700545,0,0,329,299584,3218922,654000129,一卡通票證股份有限公司,筆數,3218593,0,329,3218922,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
110,5,110/05,3658334,0,false,,3176585,584851406,0,0,291,533332,3176876,585384738,一卡通票證股份有限公司,筆數,3176585,0,291,3176876,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
110,4,110/04,3523226,0,false,,2722587,356776952,0,0,448,1163116,2723035,357940068,一卡通票證股份有限公司,筆數,2722587,0,448,2723035,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
110,3,110/03,3414469,0,false,,2562221,322698187,0,0,571,1165190,2562792,323863377,一卡通票證股份有限公司,筆數,2562221,0,571,2562792,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
110,2,110/02,3300441,0,false,,1946747,300900555,0,0,735,1304857,1947482,302205412,一卡通票證股份有限公司,筆數,1946747,0,735,1947482,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
110,1,110/01,3146285,0,false,,2001262,294113156,0,0,977,1569787,2002239,295682943,一卡通票證股份有限公司,筆數,2001262,0,977,2002239,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
109,12,109/12,3047998,0,false,,2000418,294545929,0,0,2626,3253629,2003044,297799558,一卡通票證股份有限公司,筆數,2000418,0,2626,2003044,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
109,11,109/11,2952849,0,false,,1955710,265373836,0,0,4144,5522262,1959854,270896098,一卡通票證股份有限公司,筆數,1955710,0,4144,1959854,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
109,10,109/10,2859728,0,false,,1915685,268056123,0,0,3804,5382633,1919489,273438756,一卡通票證股份有限公司,筆數,1915685,0,3804,1919489,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
109,9,109/09,2771973,0,false,,1958563,351778209,0,0,3901,4736294,1962464,356514503,一卡通票證股份有限公司,筆數,1958563,0,3901,1962464,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
109,8,109/08,2669229,0,false,,2056725,407330281,0,0,4086,4041582,2060811,411371863,一卡通票證股份有限公司,筆數,2056725,0,4086,2060811,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
109,7,109/07,2571492,0,false,,1929749,354452714,0,0,4103,3980538,1933852,358433252,一卡通票證股份有限公司,筆數,1929749,0,4103,1933852,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
109,6,109/06,2449995,0,false,,1338941,211063609,0,0,3914,4137184,1342855,215200793,一卡通票證股份有限公司,筆數,1338941,0,3914,1342855,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
109,5,109/05,2368498,0,false,,1231057,189893545,0,0,3470,3528944,1234527,193422489,一卡通票證股份有限公司,筆數,1231057,0,3470,1234527,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
109,4,109/04,2292927,0,false,,946441,130678658,0,0,3244,3170648,949685,133849306,一卡通票證股份有限公司,筆數,946441,0,3244,949685,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
109,3,109/03,2219547,0,false,,928387,109524526,3248,3686666,0,0,931635,113211192,一卡通票證股份有限公司,筆數,928387,3248,0,931635,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
109,2,109/02,2161775,0,false,,834830,102763496,0,0,3797,4809822,838627,107573318,一卡通票證股份有限公司,筆數,834830,0,3797,838627,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
109,1,109/01,2101016,0,false,,952454,123294359,0,0,4217,9764764,956671,133059123,一卡通票證股份有限公司,筆數,952454,0,4217,956671,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
108,12,108/12,2027510,0,false,,1186455,186256007,5008,13933368,0,0,1191463,200189375,一卡通票證股份有限公司,筆數,1186455,5008,0,1191463,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
108,11,108/11,1954552,0,false,,1232096,163271861,0,0,3704,13216472,1235800,176488333,一卡通票證股份有限公司,筆數,1232096,0,3704,1235800,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
108,10,108/10,1874079,0,false,,895289,116854655,0,0,2164,11958398,897453,128813053,一卡通票證股份有限公司,筆數,895289,0,2164,897453,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
108,9,108/09,1795590,0,false,,918451,107807437,0,0,1662,9064108,920113,116871545,一卡通票證股份有限公司,筆數,918451,0,1662,920113,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
108,8,108/08,1734683,0,false,,524822,75657673,0,0,1341,8719661,526163,84377334,一卡通票證股份有限公司,筆數,524822,0,1341,526163,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
108,7,108/07,1667983,0,false,,521106,65138688,0,0,1320,3906939,522426,69045627,一卡通票證股份有限公司,筆數,521106,0,1320,522426,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
108,6,108/06,1594570,0,false,,670231,85125624,0,0,865,401144,671096,85526768,一卡通票證股份有限公司,筆數,670231,0,865,671096,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
108,5,108/05,1532787,0,false,,575066,56901536,0,0,1062,506050,576128,57407586,一卡通票證股份有限公司,筆數,575066,0,1062,576128,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
108,4,108/04,1462936,0,false,,524479,53661010,0,0,882,645317,525361,54306327,一卡通票證股份有限公司,筆數,524479,0,882,525361,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
108,3,108/03,1388407,0,false,,442317,43141658,0,0,1104,399953,443421,43541611,一卡通票證股份有限公司,筆數,442317,0,1104,443421,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
108,2,108/02,1305821,0,false,,341392,37926949,1103,337575,0,0,342495,38264524,一卡通票證股份有限公司,筆數,341392,1103,0,342495,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
108,1,108/01,1099230,0,false,,326859,32886925,0,0,0,0,326859,32886925,一卡通票證股份有限公司,筆數,326859,0,0,326859,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
107,12,107/12,1006821,0,false,,301176,27089928,0,0,0,0,301176,27089928,一卡通票證股份有限公司,筆數,301176,0,0,301176,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
107,11,107/11,903296,0,false,,280207,22119231,0,0,0,0,280207,22119231,一卡通票證股份有限公司,筆數,280207,0,0,280207,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
107,10,107/10,706490,0,false,,151670,9623216,0,0,0,0,151670,9623216,一卡通票證股份有限公司,筆數,151670,0,0,151670,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
107,9,107/09,517593,0,false,,22143,1029559,0,0,0,0,22143,1029559,一卡通票證股份有限公司,筆數,22143,0,0,22143,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw
