yr,mn,ym,c1,c2,c3,c4,c5,c6,editable,[0].amt,[1].amt,1900A,[2].amt,3000A,[3].amt,[4].amt,4900A,[5].amt,6000A,9000A,機構名稱,支付工具,電子支付帳戶,經核准機構辦理跨境代理收付款項餘額,小計(A),儲值款項餘額(B),支付款項餘額(C=A+B),儲值卡,小計(D),儲值款項餘額(E),支付款項餘額(F=D+E),支付款項餘額總計,維護部門名稱,主管姓名,主管電話,承辦人姓名,承辦人電話,承辦人E-MAIL,類型,代理收付款項餘額,儲值款項餘額( B )
114,4,114/04,9679510689,2305247806,11984758495,43164296,2240817279,2283981575,false,9678846271,664418,9679510689,2305247806,11984758495,43164296,0,43164296,2240817279,2283981575,14268740070,一卡通票證股份有限公司,類型,代理收付款項餘額,0,9679510689,2305247806,11984758495,代理收付款項餘額,43164296,2240817279,2283981575,14268740070,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
114,3,114/03,9778779094,2291739377,12070518471,50926160,2238147653,2289073813,false,9776865866,1913228,9778779094,2291739377,12070518471,50926160,0,50926160,2238147653,2289073813,14359592284,一卡通票證股份有限公司,類型,代理收付款項餘額,0,9778779094,2291739377,12070518471,代理收付款項餘額,50926160,2238147653,2289073813,14359592284,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
114,2,114/02,9774047841,2310792008,12084839849,47755845,2212122183,2259878028,false,9772117613,1930228,9774047841,2310792008,12084839849,47755845,0,47755845,2212122183,2259878028,14344717877,一卡通票證股份有限公司,類型,代理收付款項餘額,0,9774047841,2310792008,12084839849,代理收付款項餘額,47755845,2212122183,2259878028,14344717877,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
114,1,114/01,10518744417,2302908007,12821652424,126799801,2198993082,2325792883,false,10513013379,5731038,10518744417,2302908007,12821652424,126799801,0,126799801,2198993082,2325792883,15147445307,一卡通票證股份有限公司,類型,代理收付款項餘額,0,10518744417,2302908007,12821652424,代理收付款項餘額,126799801,2198993082,2325792883,15147445307,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
113,12,113/12,8970491888,2180828662,11151320550,51895077,2185165639,2237060716,false,8969578386,913502,8970491888,2180828662,11151320550,51895077,0,51895077,2185165639,2237060716,13388381266,一卡通票證股份有限公司,類型,代理收付款項餘額,0,8970491888,2180828662,11151320550,代理收付款項餘額,51895077,2185165639,2237060716,13388381266,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
113,11,113/11,8775853737,2150143484,10925997221,58753440,2180255554,2239008994,false,8774824192,1029545,8775853737,2150143484,10925997221,58753440,0,58753440,2180255554,2239008994,13165006215,一卡通票證股份有限公司,類型,代理收付款項餘額,0,8775853737,2150143484,10925997221,代理收付款項餘額,58753440,2180255554,2239008994,13165006215,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
113,10,113/10,8475833150,2123640250,10599473400,58457122,2171626457,2230083579,false,8475687138,146012,8475833150,2123640250,10599473400,58457122,0,58457122,2171626457,2230083579,12829556979,一卡通票證股份有限公司,類型,代理收付款項餘額,0,8475833150,2123640250,10599473400,代理收付款項餘額,58457122,2171626457,2230083579,12829556979,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
113,9,113/09,8567833254,2103179953,10671013207,42523120,2157175974,2199699094,false,8567833254,0,8567833254,2103179953,10671013207,42523120,0,42523120,2157175974,2199699094,12870712301,一卡通票證股份有限公司,類型,代理收付款項餘額,0,8567833254,2103179953,10671013207,代理收付款項餘額,42523120,2157175974,2199699094,12870712301,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
113,8,113/08,8281065834,2069126038,10350191872,86355234,2155506260,2241861494,false,8281065834,0,8281065834,2069126038,10350191872,86355234,0,86355234,2155506260,2241861494,12592053366,一卡通票證股份有限公司,類型,代理收付款項餘額,0,8281065834,2069126038,10350191872,代理收付款項餘額,86355234,2155506260,2241861494,12592053366,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
113,7,113/07,7984502078,2042013478,10026515556,43327320,2136683423,2180010743,false,7984502078,0,7984502078,2042013478,10026515556,43327320,0,43327320,2136683423,2180010743,12206526299,一卡通票證股份有限公司,類型,代理收付款項餘額,0,7984502078,2042013478,10026515556,代理收付款項餘額,43327320,2136683423,2180010743,12206526299,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
113,6,113/06,8123790998,2009512062,10133303060,72711244,2126256758,2198968002,false,8123790998,0,8123790998,2009512062,10133303060,72711244,0,72711244,2126256758,2198968002,12332271062,一卡通票證股份有限公司,類型,代理收付款項餘額,0,8123790998,2009512062,10133303060,代理收付款項餘額,72711244,2126256758,2198968002,12332271062,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
113,5,113/05,7773233987,1987188212,9760422199,45238200,2100747343,2145985543,false,7773233987,0,7773233987,1987188212,9760422199,45238200,0,45238200,2100747343,2145985543,11906407742,一卡通票證股份有限公司,類型,代理收付款項餘額,0,7773233987,1987188212,9760422199,代理收付款項餘額,45238200,2100747343,2145985543,11906407742,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
113,4,113/04,7661572107,1969500856,9631072963,49384272,2103821682,2153205954,false,7661572107,0,7661572107,1969500856,9631072963,49384272,0,49384272,2103821682,2153205954,11784278917,一卡通票證股份有限公司,類型,代理收付款項餘額,0,7661572107,1969500856,9631072963,代理收付款項餘額,49384272,2103821682,2153205954,11784278917,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
113,3,113/03,7718793205,1948003205,9666796410,104978019,2091913810,2196891829,false,7718793205,0,7718793205,1948003205,9666796410,104978019,0,104978019,2091913810,2196891829,11863688239,一卡通票證股份有限公司,類型,代理收付款項餘額,0,7718793205,1948003205,9666796410,代理收付款項餘額,104978019,2091913810,2196891829,11863688239,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
113,2,113/02,7611895731,1944105513,9556001244,102570069,2090831653,2193401722,false,7611895731,0,7611895731,1944105513,9556001244,102570069,0,102570069,2090831653,2193401722,11749402966,一卡通票證股份有限公司,類型,代理收付款項餘額,0,7611895731,1944105513,9556001244,代理收付款項餘額,102570069,2090831653,2193401722,11749402966,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
113,1,113/01,7172493131,1880658935,9053152066,90438532,2056776506,2147215038,false,7172493131,0,7172493131,1880658935,9053152066,90438532,0,90438532,2056776506,2147215038,11200367104,一卡通票證股份有限公司,類型,代理收付款項餘額,0,7172493131,1880658935,9053152066,代理收付款項餘額,90438532,2056776506,2147215038,11200367104,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
112,12,112/12,6976779967,1823911342,8800691309,117965432,2027764894,2145730326,false,6976779967,0,6976779967,1823911342,8800691309,117965432,0,117965432,2027764894,2145730326,10946421635,一卡通票證股份有限公司,類型,代理收付款項餘額,0,6976779967,1823911342,8800691309,代理收付款項餘額,117965432,2027764894,2145730326,10946421635,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
112,11,112/11,6573750760,1796803748,8370554508,76269740,2031624091,2107893831,false,6573750760,0,6573750760,1796803748,8370554508,76269740,0,76269740,2031624091,2107893831,10478448339,一卡通票證股份有限公司,類型,代理收付款項餘額,0,6573750760,1796803748,8370554508,代理收付款項餘額,76269740,2031624091,2107893831,10478448339,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
112,10,112/10,6519359695,1781142139,8300501834,97429178,2021310546,2118739724,false,6519359695,0,6519359695,1781142139,8300501834,97429178,0,97429178,2021310546,2118739724,10419241558,一卡通票證股份有限公司,類型,代理收付款項餘額,0,6519359695,1781142139,8300501834,代理收付款項餘額,97429178,2021310546,2118739724,10419241558,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
112,9,112/09,6491241722,1772249440,8263491162,117830972,2003628418,2121459390,false,6491241722,0,6491241722,1772249440,8263491162,117830972,0,117830972,2003628418,2121459390,10384950552,一卡通票證股份有限公司,類型,代理收付款項餘額,0,6491241722,1772249440,8263491162,代理收付款項餘額,117830972,2003628418,2121459390,10384950552,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
112,8,112/08,6113686852,1743844326,7857531178,85273749,1991400084,2076673833,false,6113686852,0,6113686852,1743844326,7857531178,85273749,0,85273749,1991400084,2076673833,9934205011,一卡通票證股份有限公司,類型,代理收付款項餘額,0,6113686852,1743844326,7857531178,代理收付款項餘額,85273749,1991400084,2076673833,9934205011,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
112,7,112/07,6047821458,1729691123,7777512581,95613390,1956622855,2052236245,false,6047821458,0,6047821458,1729691123,7777512581,95613390,0,95613390,1956622855,2052236245,9829748826,一卡通票證股份有限公司,類型,代理收付款項餘額,0,6047821458,1729691123,7777512581,代理收付款項餘額,95613390,1956622855,2052236245,9829748826,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
112,6,112/06,5776691650,1711290687,7487982337,72117963,1953584419,2025702382,false,5776691650,0,5776691650,1711290687,7487982337,72117963,0,72117963,1953584419,2025702382,9513684719,一卡通票證股份有限公司,類型,代理收付款項餘額,0,5776691650,1711290687,7487982337,代理收付款項餘額,72117963,1953584419,2025702382,9513684719,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
112,5,112/05,5526089420,1711410310,7237499730,99317937,1951186567,2050504504,false,5526089420,0,5526089420,1711410310,7237499730,99317937,0,99317937,1951186567,2050504504,9288004234,一卡通票證股份有限公司,類型,代理收付款項餘額,0,5526089420,1711410310,7237499730,代理收付款項餘額,99317937,1951186567,2050504504,9288004234,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
112,4,112/04,5225573849,1705570239,6931144088,109618777,1937150812,2046769589,false,5225573849,0,5225573849,1705570239,6931144088,109618777,0,109618777,1937150812,2046769589,8977913677,一卡通票證股份有限公司,類型,代理收付款項餘額,0,5225573849,1705570239,6931144088,代理收付款項餘額,109618777,1937150812,2046769589,8977913677,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
112,3,112/03,5102198989,1670144759,6772343748,85956646,1924253241,2010209887,false,5102198989,0,5102198989,1670144759,6772343748,85956646,0,85956646,1924253241,2010209887,8782553635,一卡通票證股份有限公司,類型,代理收付款項餘額,0,5102198989,1670144759,6772343748,代理收付款項餘額,85956646,1924253241,2010209887,8782553635,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
112,2,112/02,5209988915,1628229686,6838218601,131854969,1920949960,2052804929,false,5209988915,0,5209988915,1628229686,6838218601,131854969,0,131854969,1920949960,2052804929,8891023530,一卡通票證股份有限公司,類型,代理收付款項餘額,0,5209988915,1628229686,6838218601,代理收付款項餘額,131854969,1920949960,2052804929,8891023530,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
112,1,112/01,5188030339,1601471867,6789502206,89589767,1899165600,1988755367,false,5188030339,0,5188030339,1601471867,6789502206,89589767,0,89589767,1899165600,1988755367,8778257573,一卡通票證股份有限公司,類型,代理收付款項餘額,0,5188030339,1601471867,6789502206,代理收付款項餘額,89589767,1899165600,1988755367,8778257573,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
111,12,111/12,4408052492,1502171388,5910223880,97304789,1877779674,1975084463,false,4408052492,0,4408052492,1502171388,5910223880,97304789,0,97304789,1877779674,1975084463,7885308343,一卡通票證股份有限公司,類型,代理收付款項餘額,0,4408052492,1502171388,5910223880,代理收付款項餘額,97304789,1877779674,1975084463,7885308343,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
111,11,111/11,4078105692,1471368237,5549473929,66633442,1866119401,1932752843,false,4078105692,0,4078105692,1471368237,5549473929,66633442,0,66633442,1866119401,1932752843,7482226772,一卡通票證股份有限公司,類型,代理收付款項餘額,0,4078105692,1471368237,5549473929,代理收付款項餘額,66633442,1866119401,1932752843,7482226772,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
111,10,111/10,3947546500,1435857358,5383403858,71157188,1853306622,1924463810,false,3947546500,0,3947546500,1435857358,5383403858,71157188,0,71157188,1853306622,1924463810,7307867668,一卡通票證股份有限公司,類型,代理收付款項餘額,0,3947546500,1435857358,5383403858,代理收付款項餘額,71157188,1853306622,1924463810,7307867668,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
111,9,111/09,3723948968,1408506794,5132455762,64622316,1839388162,1904010478,false,3723948968,0,3723948968,1408506794,5132455762,64622316,0,64622316,1839388162,1904010478,7036466240,一卡通票證股份有限公司,類型,代理收付款項餘額,0,3723948968,1408506794,5132455762,代理收付款項餘額,64622316,1839388162,1904010478,7036466240,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
111,8,111/08,3582789761,1368966295,4951756056,66894438,1825883549,1892777987,false,3582789761,0,3582789761,1368966295,4951756056,66894438,0,66894438,1825883549,1892777987,6844534043,一卡通票證股份有限公司,類型,代理收付款項餘額,0,3582789761,1368966295,4951756056,代理收付款項餘額,66894438,1825883549,1892777987,6844534043,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
111,7,111/07,3473591912,1338754182,4812346094,108940751,1809268909,1918209660,false,3473591912,0,3473591912,1338754182,4812346094,108940751,0,108940751,1809268909,1918209660,6730555754,一卡通票證股份有限公司,類型,代理收付款項餘額,0,3473591912,1338754182,4812346094,代理收付款項餘額,108940751,1809268909,1918209660,6730555754,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
111,6,111/06,3156361036,1307632999,4463994035,84106332,1793463756,1877570088,false,3156361036,0,3156361036,1307632999,4463994035,84106332,0,84106332,1793463756,1877570088,6341564123,一卡通票證股份有限公司,類型,代理收付款項餘額,0,3156361036,1307632999,4463994035,代理收付款項餘額,84106332,1793463756,1877570088,6341564123,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
111,5,111/05,3068286813,1293162760,4361449573,82403929,1794863221,1877267150,false,3068286813,0,3068286813,1293162760,4361449573,82403929,0,82403929,1794863221,1877267150,6238716723,一卡通票證股份有限公司,類型,代理收付款項餘額,0,3068286813,1293162760,4361449573,代理收付款項餘額,82403929,1794863221,1877267150,6238716723,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
111,4,111/04,2929968617,1273793521,4203762138,104736746,1794361117,1899097863,false,2929968617,0,2929968617,1273793521,4203762138,104736746,0,104736746,1794361117,1899097863,6102860001,一卡通票證股份有限公司,類型,代理收付款項餘額,0,2929968617,1273793521,4203762138,代理收付款項餘額,104736746,1794361117,1899097863,6102860001,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
111,3,111/03,2707414965,1256786287,3964201252,72715051,1790303518,1863018569,false,2707414965,0,2707414965,1256786287,3964201252,72715051,0,72715051,1790303518,1863018569,5827219821,一卡通票證股份有限公司,類型,代理收付款項餘額,0,2707414965,1256786287,3964201252,代理收付款項餘額,72715051,1790303518,1863018569,5827219821,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
111,2,111/02,2791782609,1275682883,4067465492,153175018,1784788934,1937963952,false,2791782609,0,2791782609,1275682883,4067465492,153175018,0,153175018,1784788934,1937963952,6005429444,一卡通票證股份有限公司,類型,代理收付款項餘額,0,2791782609,1275682883,4067465492,代理收付款項餘額,153175018,1784788934,1937963952,6005429444,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
111,1,111/01,2870398977,1357552870,4227951847,136191806,1759463211,1895655017,false,2870398977,0,2870398977,1357552870,4227951847,136191806,0,136191806,1759463211,1895655017,6123606864,一卡通票證股份有限公司,類型,代理收付款項餘額,0,2870398977,1357552870,4227951847,代理收付款項餘額,136191806,1759463211,1895655017,6123606864,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
110,12,110/12,2352961509,1288040628,3641002137,93048114,1747326836,1840374950,false,2352961509,0,2352961509,1288040628,3641002137,93048114,0,93048114,1747326836,1840374950,5481377087,一卡通票證股份有限公司,類型,代理收付款項餘額,0,2352961509,1288040628,3641002137,代理收付款項餘額,93048114,1747326836,1840374950,5481377087,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
110,11,110/11,2220779938,1314796754,3535576692,78022096,1733488755,1811510851,false,2220779938,0,2220779938,1314796754,3535576692,78022096,0,78022096,1733488755,1811510851,5347087543,一卡通票證股份有限公司,類型,代理收付款項餘額,0,2220779938,1314796754,3535576692,代理收付款項餘額,78022096,1733488755,1811510851,5347087543,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
110,10,110/10,2189023326,1299443904,3488467230,100564400,1719488039,1820052439,false,2189023326,0,2189023326,1299443904,3488467230,100564400,0,100564400,1719488039,1820052439,5308519669,一卡通票證股份有限公司,類型,代理收付款項餘額,0,2189023326,1299443904,3488467230,代理收付款項餘額,100564400,1719488039,1820052439,5308519669,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
110,9,110/09,1871713495,1072601475,2944314970,100224414,1697605705,1797830119,false,1871713495,0,1871713495,1072601475,2944314970,100224414,0,100224414,1697605705,1797830119,4742145089,一卡通票證股份有限公司,類型,代理收付款項餘額,0,1871713495,1072601475,2944314970,代理收付款項餘額,100224414,1697605705,1797830119,4742145089,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
110,8,110/08,1801815042,1014342107,2816157149,79543021,1684585251,1764128272,false,1801815042,0,1801815042,1014342107,2816157149,79543021,0,79543021,1684585251,1764128272,4580285421,一卡通票證股份有限公司,類型,代理收付款項餘額,0,1801815042,1014342107,2816157149,代理收付款項餘額,79543021,1684585251,1764128272,4580285421,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
110,7,110/07,1648126574,988046320,2636172894,116786996,1673682393,1790469389,false,1648126574,0,1648126574,988046320,2636172894,116786996,0,116786996,1673682393,1790469389,4426642283,一卡通票證股份有限公司,類型,代理收付款項餘額,0,1648126574,988046320,2636172894,代理收付款項餘額,116786996,1673682393,1790469389,4426642283,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,
110,6,110/06,1464180221,952485986,2416666207,0,0,0,false,1464180221,0,1464180221,952485986,2416666207,,,,,,,一卡通票證股份有限公司,,,0,1464180221,,2416666207,,,,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,金額,代理收付款項餘額(不含經核准機構辦理跨境代理收付款項餘額),952485986
110,5,110/05,1322105728,854568322,2176674050,0,0,0,false,1322105728,0,1322105728,854568322,2176674050,,,,,,,一卡通票證股份有限公司,,,0,1322105728,,2176674050,,,,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,金額,代理收付款項餘額(不含經核准機構辦理跨境代理收付款項餘額),854568322
110,4,110/04,1208479329,774740096,1983219425,0,0,0,false,1208479329,0,1208479329,774740096,1983219425,,,,,,,一卡通票證股份有限公司,,,0,1208479329,,1983219425,,,,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,金額,代理收付款項餘額(不含經核准機構辦理跨境代理收付款項餘額),774740096
110,3,110/03,1199755863,734972132,1934727995,0,0,0,false,1199755863,0,1199755863,734972132,1934727995,,,,,,,一卡通票證股份有限公司,,,0,1199755863,,1934727995,,,,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,金額,代理收付款項餘額(不含經核准機構辦理跨境代理收付款項餘額),734972132
110,2,110/02,1088602011,688318302,1776920313,0,0,0,false,1088602011,0,1088602011,688318302,1776920313,,,,,,,一卡通票證股份有限公司,,,0,1088602011,,1776920313,,,,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,金額,代理收付款項餘額(不含經核准機構辦理跨境代理收付款項餘額),688318302
110,1,110/01,958388555,641349736,1599738291,0,0,0,false,958388555,0,958388555,641349736,1599738291,,,,,,,一卡通票證股份有限公司,,,0,958388555,,1599738291,,,,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,金額,代理收付款項餘額(不含經核准機構辦理跨境代理收付款項餘額),641349736
