yr,mn,ym,c1,c2,c3,editable,[0].amt,[1].amt,[2].amt,[3].amt,[4].amt,[5].amt,[6].amt,[7].amt,[8].amt,[9].amt,[10].amt,[11].amt,[12].amt,[13].amt,[14].amt,_1900A,_1900B,_1900C,[15].amt,[16].amt,[17].amt,[18].amt,[19].amt,[20].amt,_2900A,_2900B,_2900C,[21].amt,[22].amt,[23].amt,[24].amt,[25].amt,[26].amt,_3900A,_3900B,_3900C,_4900A,_4900B,_4900C,機構名稱,使用者類別,電子支付帳戶,非個人使用者,法人,行號,其他團體,小計 (A),外國籍使用者(含取得居留證者),非個人使用者(限法人),小計 (B),大陸地區以外,小計 (C),總計 (D = A + B + C),維護部門名稱,主管姓名,主管電話,承辦人姓名,承辦人電話,承辦人E-MAIL,[27].amt,[28].amt,[29].amt,[30].amt,[31].amt,[32].amt,[33].amt,[34].amt,[35].amt,[36].amt,[37].amt,[38].amt,[39].amt,[40].amt,[41].amt,_5900A,_5900B,_5900C,[42].amt,[43].amt,[44].amt,[45].amt,[46].amt,[47].amt,_6900A,_6900B,_6900C,[48].amt,[49].amt,[50].amt,[51].amt,[52].amt,[53].amt,_7900A,_7900B,_7900C,_8900A,_8900B,_8900C,資料月份,所有使用者(含與境外機構合作或協助從事電子支付機構業務相關行為客戶),本業使用者(不含與境外機構合作或協助從事電子支付機構業務相關行為客戶),小計 (a),小計 (b),小計 (c),總計 (d = a + b + c)
114,4,114/04,6903178,30895960,34964936164,false,6731239,30831514,34945285075,230,7,2050,43854,1661,1738500,87649,0,0,1306,0,0,6864278,30833182,34947025625,12589,20247,6131393,0,0,0,12589,20247,6131393,26311,42531,11779146,0,0,0,26311,42531,11779146,6903178,30895960,34964936164,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,43854,87649,1306,6864278,大陸地區,0,12589,個人使用者,26311,6903178,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,3,114/03,6866307,31620257,36148869506,false,6695093,31556987,36130637039,230,49,33859,43640,99,166532,87552,0,0,1294,0,0,6827809,31557135,36130837430,12487,20496,6076350,0,0,0,12487,20496,6076350,26011,42626,11955726,0,0,0,26011,42626,11955726,6866307,31620257,36148869506,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,43640,87552,1294,6827809,大陸地區,0,12487,個人使用者,26011,6866307,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,2,114/02,6823897,27389143,33261654693,false,6654135,27340042,33245144736,230,3,700,43284,101,189000,86931,2,18,1285,0,0,6785865,27340148,33245334454,12375,16205,5719495,0,0,0,12375,16205,5719495,25657,32790,10600744,0,0,0,25657,32790,10600744,6823897,27389143,33261654693,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,43284,86931,1285,6785865,大陸地區,0,12375,個人使用者,25657,6823897,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,1,114/01,6774615,30876311,40580401634,false,6605548,30822784,40559906305,230,37,12980,43136,1652,3287500,86812,2,11,1280,0,0,6737006,30824475,40563206796,12248,17363,6200594,0,0,0,12248,17363,6200594,25361,34473,10994244,0,0,0,25361,34473,10994244,6774615,30876311,40580401634,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,43136,86812,1280,6737006,大陸地區,0,12248,個人使用者,25361,6774615,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,12,113/12,6684320,30384995,35659579130,false,6516426,30323249,35641203398,230,172,211374,42872,109,191000,86387,4,1281,1277,0,0,6647192,30323534,35641607053,12123,20004,6241764,0,0,0,12123,20004,6241764,25005,41457,11730313,0,0,0,25005,41457,11730313,6684320,30384995,35659579130,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,42872,86387,1277,6647192,大陸地區,0,12123,個人使用者,25005,6684320,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,11,113/11,6639696,28583869,33712133954,false,6473027,28524602,33693449615,230,17,6460,42571,133,218000,85870,0,0,1271,0,0,6602969,28524752,33693674075,12005,18800,6228086,0,0,0,12005,18800,6228086,24722,40317,12231793,0,0,0,24722,40317,12231793,6639696,28583869,33712133954,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,42571,85870,1271,6602969,大陸地區,0,12005,個人使用者,24722,6639696,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,10,113/10,6597430,27736925,33879415045,false,6432236,27679573,33861313838,228,127,142238,42211,104,164032,85207,1,5,1264,0,0,6561146,27679805,33861620113,11889,17848,5986434,0,0,0,11889,17848,5986434,24395,39272,11808498,0,0,0,24395,39272,11808498,6597430,27736925,33879415045,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,42211,85207,1264,6561146,大陸地區,0,11889,個人使用者,24395,6597430,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,9,113/09,6552346,27175696,33237402493,false,6388590,27121695,33220300362,225,6,2400,41882,92,147500,84604,0,0,1259,0,0,6516560,27121793,33220450262,11732,17169,5908578,0,0,0,11732,17169,5908578,24054,36734,11043653,0,0,0,24054,36734,11043653,6552346,27175696,33237402493,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,41882,84604,1259,6516560,大陸地區,0,11732,個人使用者,24054,6552346,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,8,113/08,6501946,27791667,35267161429,false,6339728,27736942,35241190414,224,121,57880,41526,438,8115593,83918,2,9,1251,1,2,6466647,27737504,35249363898,11583,17103,6082291,0,0,0,11583,17103,6082291,23716,37060,11715240,0,0,0,23716,37060,11715240,6501946,27791667,35267161429,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,41526,83918,1251,6466647,大陸地區,0,11583,個人使用者,23716,6501946,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,7,113/07,6448719,26536579,34776922285,false,6288152,26482546,34751807752,223,392,435126,41083,407,7812096,83112,2,785,1241,0,0,6413811,26483347,34760055759,11455,16741,5709555,0,0,0,11455,16741,5709555,23453,36491,11156971,0,0,0,23453,36491,11156971,6448719,26536579,34776922285,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,41083,83112,1241,6413811,大陸地區,0,11455,個人使用者,23453,6448719,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,6,113/06,6403013,25687140,32857739895,false,6243859,25630084,32830467916,223,98,34670,40696,1954,10388927,82443,0,0,1232,1,7,6368453,25632137,32840891520,11364,17874,5820744,0,0,0,11364,17874,5820744,23196,37129,11027631,0,0,0,23196,37129,11027631,6403013,25687140,32857739895,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,40696,82443,1232,6368453,大陸地區,0,11364,個人使用者,23196,6403013,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,5,113/05,6361749,26605786,33444190262,false,6203990,26545956,33417679791,222,187,118901,40329,1946,9486345,81740,0,0,1227,0,0,6327508,26548089,33427285037,11272,18261,5466752,0,0,0,11272,18261,5466752,22969,39436,11438473,0,0,0,22969,39436,11438473,6361749,26605786,33444190262,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,40329,81740,1227,6327508,大陸地區,0,11272,個人使用者,22969,6361749,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,4,113/04,6317427,24422876,31788120551,false,6161335,24369711,31765689446,222,234,191490,39897,420,7524604,80926,0,0,1216,0,0,6283596,24370365,31773405540,11156,16446,4936495,0,0,0,11156,16446,4936495,22675,36065,9778516,0,0,0,22675,36065,9778516,6317427,24422876,31788120551,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,39897,80926,1216,6283596,大陸地區,0,11156,個人使用者,22675,6317427,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,3,113/03,6276043,25030885,32879140983,false,6121694,24977613,32854967418,200,178,85799,39472,402,7560180,80075,0,0,1207,0,0,6242648,24978193,32862613397,11040,16502,5379240,0,0,0,11040,16502,5379240,22355,36190,11148346,0,0,0,22355,36190,11148346,6276043,25030885,32879140983,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,39472,80075,1207,6242648,大陸地區,0,11040,個人使用者,22355,6276043,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,2,113/02,6227388,22732207,32962742950,false,6075331,22694935,32918709165,188,57,20740,38886,1929,30732551,78941,0,0,1189,0,0,6194535,22696921,32949462456,10881,11272,4452931,0,0,0,10881,11272,4452931,21972,24014,8827563,0,0,0,21972,24014,8827563,6227388,22732207,32962742950,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,38886,78941,1189,6194535,大陸地區,0,10881,個人使用者,21972,6227388,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,1,113/01,6120471,23604352,32704174315,false,5970479,23557974,32665138154,188,249,177850,38410,609,24021124,77881,0,0,1185,0,0,6088143,23558832,32689337128,10703,13859,5164472,0,0,0,10703,13859,5164472,21625,31661,9672715,0,0,0,21625,31661,9672715,6120471,23604352,32704174315,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,38410,77881,1185,6088143,大陸地區,0,10703,個人使用者,21625,6120471,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,12,112/12,6070995,23565666,30144974859,false,5923017,23517704,30122432659,187,205,312708,37897,384,7782635,76863,0,0,1175,0,0,6039139,23518293,30130528002,10570,14413,4928215,0,0,0,10570,14413,4928215,21286,32960,9518642,0,0,0,21286,32960,9518642,6070995,23565666,30144974859,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,37897,76863,1175,6039139,大陸地區,0,10570,個人使用者,21286,6070995,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,11,112/11,6022807,22062020,28881567447,false,5876796,22014522,28858447306,173,205,218707,37432,384,6963105,75891,0,0,1164,0,0,5991456,22015111,28865629118,10413,14136,4943998,0,0,0,10413,14136,4943998,20938,32773,10994331,0,0,0,20938,32773,10994331,6022807,22062020,28881567447,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,37432,75891,1164,5991456,大陸地區,0,10413,個人使用者,20938,6022807,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,10,112/10,5978176,21421639,28306663878,false,5834654,21376646,28284489305,173,277,318933,36776,349,6896546,74627,0,0,1148,0,0,5947378,21377272,28291704784,10234,13689,4945860,0,0,0,10234,13689,4945860,20564,30678,10013234,0,0,0,20564,30678,10013234,5978176,21421639,28306663878,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,36776,74627,1148,5947378,大陸地區,0,10234,個人使用者,20564,5978176,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,9,112/09,5960039,20617425,27282384404,false,5818635,20572945,27258894244,169,182,138948,36260,2070,8422417,73635,0,0,1133,0,0,5929832,20575197,27267455609,10024,13165,5194067,0,0,0,10024,13165,5194067,20183,29063,9734728,0,0,0,20183,29063,9734728,5960039,20617425,27282384404,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,36260,73635,1133,5929832,大陸地區,0,10024,個人使用者,20183,5960039,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,8,112/08,5906730,20641922,27244933609,false,5767474,20601623,27195737612,169,149,172588,35763,372,35171869,72570,0,0,1120,0,0,5877096,20602144,27231082069,9857,11977,4774582,0,0,0,9857,11977,4774582,19777,27801,9076958,0,0,0,19777,27801,9076958,5906730,20641922,27244933609,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,35763,72570,1120,5877096,大陸地區,0,9857,個人使用者,19777,5906730,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,7,112/07,5852009,19955839,26930525062,false,5715645,19917309,26909635325,167,197,147008,34973,337,8356091,70935,0,0,1101,0,0,5822821,19917843,26918138424,9722,11536,4231775,0,0,0,9722,11536,4231775,19466,26460,8154863,0,0,0,19466,26460,8154863,5852009,19955839,26930525062,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,34973,70935,1101,5822821,大陸地區,0,9722,個人使用者,19466,5852009,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,6,112/06,5804784,19035074,25280988464,false,5670306,18994477,25258218402,164,237,239213,34455,1783,9937566,69951,0,0,1092,0,0,5775968,18996497,25268395181,9614,12007,4365976,0,0,0,9614,12007,4365976,19202,26570,8227307,0,0,0,19202,26570,8227307,5804784,19035074,25280988464,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,34455,69951,1092,5775968,大陸地區,0,9614,個人使用者,19202,5804784,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,5,112/05,5757518,19770794,27346684528,false,5625396,19730603,27324906378,162,212,122437,33831,370,9463793,68723,0,0,1071,0,0,5729183,19731185,27334492608,9450,11984,4140425,0,0,0,9450,11984,4140425,18885,27625,8051495,0,0,0,18885,27625,8051495,5757518,19770794,27346684528,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,33831,68723,1071,5729183,大陸地區,0,9450,個人使用者,18885,5757518,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,4,112/04,5707380,19873167,34122395553,false,5577843,19837712,34107138694,161,171,96151,33195,1525,4199433,67264,0,0,1055,0,0,5679518,19839408,34111434278,9304,10441,3848661,0,0,0,9304,10441,3848661,18558,23318,7112614,0,0,0,18558,23318,7112614,5707380,19873167,34122395553,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,33195,67264,1055,5679518,大陸地區,0,9304,個人使用者,18558,5707380,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,3,112/03,5648232,20574268,35111599342,false,5520636,20539145,35072432584,160,241,153588,32840,613,27737272,66188,0,0,1045,0,0,5620869,20539999,35100323444,9141,10763,4048542,0,0,0,9141,10763,4048542,18222,23506,7227356,0,0,0,18222,23506,7227356,5648232,20574268,35111599342,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,32840,66188,1045,5620869,大陸地區,0,9141,個人使用者,18222,5648232,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,2,112/02,5580436,17094801,30656604551,false,5456207,17067399,30639054304,159,93,50417,32120,323,7106543,64742,0,0,1026,0,0,5554254,17067815,30646211264,8743,8517,3576012,0,0,0,8743,8517,3576012,17439,18469,6817275,0,0,0,17439,18469,6817275,5580436,17094801,30656604551,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,32120,64742,1026,5554254,大陸地區,0,8743,個人使用者,17439,5580436,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,1,112/01,5514193,18111538,35122892227,false,5391980,18084553,35085510284,157,247,120653,31612,1973,27134690,63801,0,0,1014,252,252000,5488564,18087025,35113017627,8558,8114,3927787,0,0,0,8558,8114,3927787,17071,16399,5946813,0,0,0,17071,16399,5946813,5514193,18111538,35122892227,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,31612,63801,1014,5488564,大陸地區,0,8558,個人使用者,17071,5514193,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,12,111/12,5402511,17842939,30474039253,false,5282315,17811050,30447661516,156,250,294188,31119,1022,15658728,62758,0,0,985,0,0,5377333,17812322,30463614432,8392,9331,3459319,0,0,0,8392,9331,3459319,16786,21286,6965502,0,0,0,16786,21286,6965502,5402511,17842939,30474039253,一卡通票證股份有限公司,使用者人數,本國籍使用者,政府機關,31119,62758,985,5377333,大陸地區,0,8392,個人使用者,16786,5402511,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
