yr,mn,ym,bank_no,cards,xact,amt,editable,[0].cards,[0].xact,[0].amt,[1].cards,[1].xact,[1].amt,[2].cards,[2].xact,[2].amt,[3].cards,[3].xact,[3].amt,[4].cards,[4].xact,[4].amt,[5].cards,[5].xact,[5].amt,[6].cards,[6].xact,[6].amt,機構名稱,資料月份,業務項目/合作對象,NFC行動儲值卡(不含聯名卡)－(預先加載Preload) / 台灣大哥大,NFC行動儲值卡(不含聯名卡)－(空中下載Over The Air) / 中華電信,NFC行動儲值卡(不含聯名卡)－(空中下載Over The Air) / 台灣大哥大,NFC行動儲值卡(不含聯名卡)－(空中下載Over The Air) / 遠傳電信,NFC行動儲值卡(不含聯名卡)－(空中下載Over The Air) / 亞太電信,NFC行動儲值卡(聯名卡)－(空中下載Over The Air) / 中華電信/中國信託商業銀行,NFC行動儲值卡(聯名卡)－(空中下載Over The Air) / 中華電信/聯邦商業銀行,維護部門名稱,主管姓名,主管電話,承辦人姓名,承辦人電話,承辦人E-MAIL
114,4,114/04,391,777735,5914924,226960618,false,85370,453481,13641542,523401,3822795,164278516,122965,947077,28259565,39865,234222,6925184,640,25666,622949,4221,285901,10275563,1273,145782,2957299,一卡通票證股份有限公司,114 年 04 月,發卡數,85370,523401,122965,39865,640,4221,1273,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
114,3,114/03,391,777681,5901045,226472284,false,85370,452763,13625141,523349,3811034,163845768,122963,945998,28230695,39865,234102,6918706,640,25664,622949,4221,285715,10272015,1273,145769,2957010,一卡通票證股份有限公司,114 年 03 月,發卡數,85370,523349,122963,39865,640,4221,1273,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
114,2,114/02,391,777593,5886265,225955129,false,85370,452005,13609904,523261,3798566,163382626,122963,945236,28209888,39865,233915,6911947,640,25616,622799,4221,285334,10264316,1273,145593,2953649,一卡通票證股份有限公司,114 年 02 月,發卡數,85370,523261,122963,39865,640,4221,1273,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
114,1,114/01,391,777529,5873612,225540018,false,85370,451430,13598017,523198,3788300,163028568,122962,944497,28191705,39865,233689,6902051,640,25552,622289,4221,284781,10248850,1273,145363,2948538,一卡通票證股份有限公司,114 年 01 月,發卡數,85370,523198,122962,39865,640,4221,1273,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
113,12,113/12,391,777460,5858727,224998325,false,85370,450655,13582572,523129,3776376,162575936,122962,943772,28168098,39865,233549,6897333,640,25500,622289,4221,283714,10208536,1273,145161,2943561,一卡通票證股份有限公司,113 年 12 月,發卡數,85370,523129,122962,39865,640,4221,1273,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
113,11,113/11,391,777409,5842973,224439469,false,85370,449856,13565813,523085,3764087,162125283,122962,942718,28137652,39865,233346,6890069,640,25467,622029,4215,282534,10160589,1272,144965,2938034,一卡通票證股份有限公司,113 年 11 月,發卡數,85370,523085,122962,39865,640,4215,1272,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
113,10,113/10,391,777369,5828466,223891597,false,85370,449115,13548535,523057,3752714,161693453,122962,941844,28109959,39865,233177,6883795,640,25463,621799,4208,281380,10102325,1267,144773,2931731,一卡通票證股份有限公司,113 年 10 月,發卡數,85370,523057,122962,39865,640,4208,1267,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
113,9,113/09,391,777336,5814017,223350844,false,85370,448328,13532757,523033,3741309,161262633,122962,941039,28082928,39865,233048,6877663,640,25402,621759,4200,280300,10047626,1266,144591,2925478,一卡通票證股份有限公司,113 年 09 月,發卡數,85370,523033,122962,39865,640,4200,1266,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
113,8,113/08,391,777269,5798791,222775202,false,85370,447562,13515487,522978,3729258,160799782,122962,940197,28054110,39865,232908,6871315,640,25331,621619,4188,279124,9992357,1266,144411,2920532,一卡通票證股份有限公司,113 年 08 月,發卡數,85370,522978,122962,39865,640,4188,1266,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
113,7,113/07,391,777208,5782497,222177722,false,85370,446660,13495797,522923,3716498,160320569,122962,939260,28022821,39865,232760,6864526,640,25275,621394,4182,277912,9939569,1266,144132,2913046,一卡通票證股份有限公司,113 年 07 月,發卡數,85370,522923,122962,39865,640,4182,1266,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
113,6,113/06,391,777141,5766748,221591739,false,85370,445874,13475698,522865,3704127,159860391,122961,938306,27988923,39865,232582,6857912,640,25239,621294,4174,276724,9881210,1266,143896,2906311,一卡通票證股份有限公司,113 年 06 月,發卡數,85370,522865,122961,39865,640,4174,1266,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
113,5,113/05,391,777074,5750601,221013728,false,85370,445078,13460070,522811,3691280,159396216,122961,937516,27961874,39865,232383,6850255,640,25193,621065,4161,275573,9825778,1266,143578,2898470,一卡通票證股份有限公司,113 年 05 月,發卡數,85370,522811,122961,39865,640,4161,1266,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
113,4,113/04,391,777015,5734163,220444839,false,85370,444364,13446134,522769,3678050,158936198,122961,936685,27936216,39865,232221,6842081,640,25155,621026,4149,274401,9773083,1261,143287,2890101,一卡通票證股份有限公司,113 年 04 月,發卡數,85370,522769,122961,39865,640,4149,1261,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
113,3,113/03,391,776946,5718049,219863238,false,85370,443698,13432098,522711,3665021,158472615,122961,935981,27911795,39865,232008,6835356,640,25112,620996,4138,273189,9709453,1261,143040,2880925,一卡通票證股份有限公司,113 年 03 月,發卡數,85370,522711,122961,39865,640,4138,1261,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
113,2,113/02,391,776863,5701122,219262810,false,85370,443004,13413374,522650,3651386,157990732,122960,935277,27888395,39865,231750,6825703,640,25077,620866,4127,271909,9652792,1251,142719,2870948,一卡通票證股份有限公司,113 年 02 月,發卡數,85370,522650,122960,39865,640,4127,1251,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
113,1,113/01,391,776786,5684388,218691705,false,85370,442306,13397690,522604,3637948,157519979,122960,934437,27864231,39865,231463,6816207,640,25033,620696,4104,270737,9610457,1243,142464,2862445,一卡通票證股份有限公司,113 年 01 月,發卡數,85370,522604,122960,39865,640,4104,1243,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
112,12,112/12,391,776710,5666510,218095169,false,85370,441523,13381610,522550,3623617,157028259,122959,933610,27841721,39865,231147,6805850,640,24969,620470,4086,269521,9562958,1240,142123,2854301,一卡通票證股份有限公司,112 年 12 月,發卡數,85370,522550,122959,39865,640,4086,1240,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
112,11,112/11,391,776636,5647438,217416691,false,85370,440660,13358474,522491,3608539,156480453,122958,932568,27811092,39865,230817,6792377,640,24925,620163,4075,268121,9510356,1237,141808,2843776,一卡通票證股份有限公司,112 年 11 月,發卡數,85370,522491,122958,39865,640,4075,1237,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
112,10,112/10,391,776561,5629488,216762857,false,85370,439701,13332071,522430,3594407,155957587,122957,931654,27784281,39865,230554,6782555,640,24860,619891,4062,266782,9452631,1237,141530,2833841,一卡通票證股份有限公司,112 年 10 月,發卡數,85370,522430,122957,39865,640,4062,1237,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
112,9,112/09,391,776464,5610306,216078477,false,85370,438719,13303505,522352,3579441,155428975,122957,930751,27754246,39865,230226,6771176,640,24800,619692,4051,265160,9375729,1229,141209,2825154,一卡通票證股份有限公司,112 年 09 月,發卡數,85370,522352,122957,39865,640,4051,1229,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
112,8,112/08,391,776385,5591454,215416817,false,85370,437614,13272404,522280,3565016,154912256,122956,929888,27731895,39865,229874,6760235,640,24732,619417,4045,263455,9305455,1229,140875,2815155,一卡通票證股份有限公司,112 年 08 月,發卡數,85370,522280,122956,39865,640,4045,1229,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
112,7,112/07,391,776290,5571088,214721977,false,85370,436608,13246848,522205,3549440,154374176,122956,928824,27700529,39865,229521,6748799,640,24636,618781,4029,261602,9229636,1225,140457,2803208,一卡通票證股份有限公司,112 年 07 月,發卡數,85370,522205,122956,39865,640,4029,1225,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
112,6,112/06,391,776187,5549891,213989262,false,85370,435688,13221762,522115,3533214,153799306,122956,927586,27664510,39865,229145,6735308,640,24545,618641,4024,259607,9156046,1217,140106,2793689,一卡通票證股份有限公司,112 年 06 月,發卡數,85370,522115,122956,39865,640,4024,1217,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
112,5,112/05,391,776097,5527832,213234018,false,85370,434824,13196487,522037,3516284,153215102,122955,926472,27630446,39865,228740,6720090,640,24393,618028,4015,257333,9069596,1215,139786,2784269,一卡通票證股份有限公司,112 年 05 月,發卡數,85370,522037,122955,39865,640,4015,1215,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
112,4,112/04,391,775972,5504562,212431138,false,85370,433944,13168146,521931,3498649,152590279,122955,925259,27594070,39865,228193,6701448,640,24175,617248,3998,255020,8986919,1213,139322,2773028,一卡通票證股份有限公司,112 年 04 月,發卡數,85370,521931,122955,39865,640,3998,1213,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
112,3,112/03,391,775855,5480591,211645542,false,85370,432933,13137554,521843,3480535,151985513,122954,923823,27552372,39865,227566,6682666,640,23974,616769,3976,252802,8908265,1207,138958,2762403,一卡通票證股份有限公司,112 年 03 月,發卡數,85370,521843,122954,39865,640,3976,1207,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
112,2,112/02,391,775756,5454994,210809674,false,85370,431809,13102356,521748,3461403,151346662,122954,922296,27508419,39865,226965,6663384,640,23773,615869,3972,250275,8822933,1207,138473,2750051,一卡通票證股份有限公司,112 年 02 月,發卡數,85370,521748,122954,39865,640,3972,1207,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
112,1,112/01,391,775591,5431859,210032817,false,85370,430834,13075861,521603,3444067,150747531,122954,920847,27465994,39865,226395,6646296,640,23633,614961,3956,248010,8743165,1203,138073,2739009,一卡通票證股份有限公司,112 年 01 月,發卡數,85370,521603,122954,39865,640,3956,1203,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
111,12,111/12,391,775411,5408195,209183541,false,85370,429762,13045333,521438,3426304,150085836,122954,919310,27416493,39865,225937,6631301,640,23501,613537,3945,245690,8663231,1199,137691,2727810,一卡通票證股份有限公司,111 年 12 月,發卡數,85370,521438,122954,39865,640,3945,1199,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
111,11,111/11,391,775179,5381604,208263186,false,85370,428500,13006962,521226,3406382,149376309,122953,917665,27367531,39865,225473,6614814,640,23415,612833,3931,243047,8568272,1194,137122,2716465,一卡通票證股份有限公司,111 年 11 月,發卡數,85370,521226,122953,39865,640,3931,1194,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
111,10,111/10,391,774907,5356050,207381544,false,85370,427420,12975649,520964,3386929,148683655,122953,916278,27326024,39865,224883,6596213,640,23283,612046,3922,240627,8482466,1193,136630,2705491,一卡通票證股份有限公司,111 年 10 月,發卡數,85370,520964,122953,39865,640,3922,1193,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
111,9,111/09,391,774561,5329820,206415051,false,85370,426412,12941859,520638,3366994,147919229,122953,914662,27275198,39865,224320,6578317,640,23139,611149,3906,238187,8397166,1189,136106,2692133,一卡通票證股份有限公司,111 年 09 月,發卡數,85370,520638,122953,39865,640,3906,1189,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
111,8,111/08,391,774145,5305140,205486840,false,85370,425390,12906809,520247,3348587,147193488,122953,913023,27220748,39865,223692,6559847,640,22972,610485,3883,235851,8312289,1187,135625,2683174,一卡通票證股份有限公司,111 年 08 月,發卡數,85370,520247,122953,39865,640,3883,1187,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
111,7,111/07,391,773595,5278936,204463545,false,85370,424185,12870696,519721,3328942,146374137,122953,911324,27162887,39865,223124,6544939,640,22816,609368,3868,233421,8231484,1178,135124,2670034,一卡通票證股份有限公司,111 年 07 月,發卡數,85370,519721,122953,39865,640,3868,1178,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
111,6,111/06,391,772991,5253824,203430360,false,85370,423083,12842669,519148,3310237,145545253,122952,909483,27102662,39865,222612,6531762,640,22647,608671,3846,231133,8145001,1170,134629,2654342,一卡通票證股份有限公司,111 年 06 月,發卡數,85370,519148,122952,39865,640,3846,1170,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
111,5,111/05,391,772405,5232757,202479847,false,85370,422080,12813763,518567,3294799,144782250,122952,907846,27047538,39865,222031,6515698,640,22529,607813,3842,229307,8074088,1169,134165,2638697,一卡通票證股份有限公司,111 年 05 月,發卡數,85370,518567,122952,39865,640,3842,1169,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
111,4,111/04,391,771784,5212628,201517706,false,85370,421319,12790318,517960,3279927,144001072,122952,906228,26994223,39865,221405,6498958,640,22436,607151,3830,227569,8001984,1167,133744,2624000,一卡通票證股份有限公司,111 年 04 月,發卡數,85370,517960,122952,39865,640,3830,1167,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
111,3,111/03,391,771166,5187576,200422595,false,85370,420327,12758478,517361,3260915,143109371,122950,904453,26934952,39865,220902,6484331,640,22317,606258,3818,225380,7922434,1162,133282,2606771,一卡通票證股份有限公司,111 年 03 月,發卡數,85370,517361,122950,39865,640,3818,1162,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
111,2,111/02,391,770329,5157866,199167863,false,85370,419140,12725359,516542,3238729,142090128,122949,902274,26865850,39865,220356,6471416,640,22222,605570,3807,222469,7821936,1156,132676,2587604,一卡通票證股份有限公司,111 年 02 月,發卡數,85370,516542,122949,39865,640,3807,1156,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
111,1,111/01,391,769562,5133792,198058005,false,85370,418047,12692371,515793,3221206,141188264,122947,900350,26805606,39865,219882,6458176,640,22164,605010,3795,220004,7740228,1152,132139,2568350,一卡通票證股份有限公司,111 年 01 月,發卡數,85370,515793,122947,39865,640,3795,1152,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
110,12,110/12,391,768744,5105708,196824939,false,85382,416823,12653772,514984,3200450,140197042,122947,898322,26737172,39864,219253,6441722,640,22079,604321,3776,217292,7644584,1151,131489,2546326,一卡通票證股份有限公司,110 年 12 月,發卡數,85382,514984,122947,39864,640,3776,1151,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
110,11,110/11,391,768185,5072457,195554211,false,85382,415252,12610098,514463,3175896,139184580,122946,896033,26664183,39846,218519,6418595,640,21998,603678,3760,214052,7530528,1148,130707,2542549,一卡通票證股份有限公司,110 年 11 月,發卡數,85382,514463,122946,39846,640,3760,1148,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
110,10,110/10,391,767652,5040252,194252574,false,85382,413594,12557719,513946,3152400,138163272,122945,893591,26582541,39864,217896,6398880,640,21895,602893,3734,210913,7430933,1141,129963,2516336,一卡通票證股份有限公司,110 年 10 月,發卡數,85382,513946,122945,39864,640,3734,1141,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
110,9,110/09,391,767059,5008635,192947809,false,85382,411890,12502846,513385,3129302,137148222,122944,891044,26482619,39864,217330,6378207,640,21782,602077,3708,208076,7340139,1136,129211,2493699,一卡通票證股份有限公司,110 年 09 月,發卡數,85382,513385,122944,39864,640,3708,1136,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
110,8,110/08,391,766282,4982156,191756223,false,85382,410324,12449836,512641,3110107,136216726,122944,888835,26399858,39864,216922,6361769,640,21674,599672,3686,205796,7257975,1125,128498,2470387,一卡通票證股份有限公司,110 年 08 月,發卡數,85382,512641,122944,39864,640,3686,1125,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
110,7,110/07,391,765398,4958767,190548806,false,85382,408801,12385122,511783,3093857,135306644,122944,886512,26290002,39864,216415,6341368,640,21639,599396,3668,203695,7178230,1117,127848,2448044,一卡通票證股份有限公司,110 年 07 月,發卡數,85382,511783,122944,39864,640,3668,1117,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
110,6,110/06,391,764512,4941059,189437701,false,85382,407589,12322047,510915,3081783,134457616,122944,884633,26189576,39864,215991,6323282,640,21560,598794,3654,202153,7113343,1113,127350,2433043,一卡通票證股份有限公司,110 年 06 月,發卡數,85382,510915,122944,39864,640,3654,1113,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
110,5,110/05,391,763808,4927444,188481105,false,85382,406556,12267121,510231,3072629,133736555,122944,883106,26101964,39864,215726,6309079,640,21466,597280,3640,200991,7054592,1107,126970,2414514,一卡通票證股份有限公司,110 年 05 月,發卡數,85382,510231,122944,39864,640,3640,1107,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
110,4,110/04,391,763730,4900257,187376535,false,85382,404482,12195263,510190,3054447,132968808,122944,880144,25982447,39864,214959,6285146,640,21362,594172,3609,198526,6959986,1101,126337,2390713,一卡通票證股份有限公司,110 年 04 月,發卡數,85382,510190,122944,39864,640,3609,1101,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
110,3,110/03,391,763712,4855832,185937202,false,85382,401080,12097927,510190,3024564,131965408,122944,875534,25835827,39864,213924,6255364,640,21284,593200,3593,194354,6833142,1099,125092,2356334,一卡通票證股份有限公司,110 年 03 月,發卡數,85382,510190,122944,39864,640,3593,1099,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
110,2,110/02,391,761335,4806918,183796581,false,85337,397322,11994556,507884,2991823,130310725,122942,870685,25672261,39864,212696,6217444,640,21187,591472,3575,189471,6692162,1093,123734,2317961,一卡通票證股份有限公司,110 年 02 月,發卡數,85337,507884,122942,39864,640,3575,1093,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
110,1,110/01,391,758982,4765940,181622091,false,85325,394310,11909676,505577,2964331,128538229,122942,866532,25540925,39864,211634,6187507,640,21066,590317,3554,185508,6571165,1080,122559,2284272,一卡通票證股份有限公司,110 年 01 月,發卡數,85325,505577,122942,39864,640,3554,1080,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
109,12,109/12,391,756366,4717397,179070226,false,85316,390843,11815644,503000,2931950,126476118,122942,861471,25378875,39864,210411,6156451,640,20942,589272,3532,180650,6413313,1072,121130,2240553,一卡通票證股份有限公司,109 年 12 月,發卡數,85316,503000,122942,39864,640,3532,1072,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
109,11,109/11,391,754042,4661319,176530068,false,85297,387079,11712202,500740,2894061,124470947,122942,855476,25199275,39864,208939,6121090,640,20803,587440,3498,175415,6242775,1061,119546,2196339,一卡通票證股份有限公司,109 年 11 月,發卡數,85297,500740,122942,39864,640,3498,1061,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
109,10,109/10,391,751665,4605965,173937083,false,85273,383287,11616889,498431,2856423,122417203,122942,849664,25020104,39864,207375,6083634,640,20677,585226,3468,170397,6064780,1047,118142,2149247,一卡通票證股份有限公司,109 年 10 月,發卡數,85273,498431,122942,39864,640,3468,1047,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
109,9,109/09,391,749034,4546711,171065386,false,85250,379208,11508049,495882,2816132,120123600,122942,843285,24821915,39863,205639,6039854,640,20503,581808,3429,165349,5887609,1028,116595,2102551,一卡通票證股份有限公司,109 年 09 月,發卡數,85250,495882,122942,39863,640,3429,1028,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
109,8,109/08,391,745714,4486177,167906863,false,85234,375615,11405488,492634,2774106,117523683,122942,837161,24637793,39863,204080,5999463,640,20345,578887,3385,159882,5714070,1016,114988,2047479,一卡通票證股份有限公司,109 年 08 月,發卡數,85234,492634,122942,39863,640,3385,1016,營運產品群電支營運部,廖滋鐶,07-7933000#502,陳伯修,07-7933000#560,000827@i-pass.com.tw
