yr,mn,ym,c1,c2,editable,[0].amt,[1].amt,[2].amt,[3].amt,[4].amt,3000A,[5].amt,[6].amt,機構名稱,電子支付帳戶戶數,不具跨機構間國內外小額匯兌功能,第二類電子支付帳戶,第三類電子支付帳戶,總計,電子支付帳戶使用者人數,可從事與境外機構合作或協助從事電子支付機構業務相關行為交易之使用者人數,維護部門名稱,主管姓名,主管電話,承辦人姓名,承辦人電話,承辦人E-MAIL,1900A,2900A,資料月份,項目,代理收付實質交易款項、收受儲值款項、電子支付帳戶間款項移轉業務,小計,與境外機構合作或協助從事電子支付機構業務相關行為,符合第二類電子支付帳戶之認證程序,符合第三類電子支付帳戶之認證程序
111,12,111/12,5402511,5402511,false,0,807,596020,4805684,0,5402511,5402511,0,一卡通票證股份有限公司,第一類電子支付帳戶,4805684,具跨機構間國內外小額匯兌功能,0,5402511,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
111,11,111/11,5351135,5351135,false,0,796,552868,4797471,0,5351135,5351135,0,一卡通票證股份有限公司,第一類電子支付帳戶,4797471,具跨機構間國內外小額匯兌功能,0,5351135,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
111,10,111/10,5302337,5302337,false,0,790,510799,4790748,0,5302337,5302337,0,一卡通票證股份有限公司,第一類電子支付帳戶,4790748,具跨機構間國內外小額匯兌功能,0,5302337,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
111,9,111/09,5241674,5241674,false,0,780,466394,4774500,0,5241674,5241674,0,一卡通票證股份有限公司,第一類電子支付帳戶,4774500,具跨機構間國內外小額匯兌功能,0,5241674,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
111,8,111/08,5176764,5176764,false,0,773,423855,4752136,0,5176764,5176764,0,一卡通票證股份有限公司,第一類電子支付帳戶,4752136,具跨機構間國內外小額匯兌功能,0,5176764,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
111,7,111/07,5106784,5106784,false,0,768,377876,4728140,0,5106784,5106784,0,一卡通票證股份有限公司,第一類電子支付帳戶,4728140,具跨機構間國內外小額匯兌功能,0,5106784,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
111,6,111/06,5042426,5042426,false,0,753,336031,4705642,0,5042426,5042426,0,一卡通票證股份有限公司,第一類電子支付帳戶,4705642,具跨機構間國內外小額匯兌功能,0,5042426,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
111,5,111/05,4980546,4980546,false,0,744,302488,4677314,0,4980546,4980546,0,一卡通票證股份有限公司,第一類電子支付帳戶,4677314,具跨機構間國內外小額匯兌功能,0,4980546,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
111,4,111/04,4913416,4913416,false,0,736,265891,4646789,0,4913416,4913416,0,一卡通票證股份有限公司,第一類電子支付帳戶,4646789,具跨機構間國內外小額匯兌功能,0,4913416,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
111,3,111/03,4829036,4829036,false,0,731,236685,4591620,0,4829036,4829036,0,一卡通票證股份有限公司,第一類電子支付帳戶,4591620,具跨機構間國內外小額匯兌功能,0,4829036,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
111,2,111/02,4759141,4759141,false,0,726,204595,4553820,0,4759141,4759141,0,一卡通票證股份有限公司,第一類電子支付帳戶,4553820,具跨機構間國內外小額匯兌功能,0,4759141,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
111,1,111/01,4682595,4682595,false,0,722,169465,4512408,0,4682595,4682595,0,一卡通票證股份有限公司,第一類電子支付帳戶,4512408,具跨機構間國內外小額匯兌功能,0,4682595,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
110,12,110/12,4556549,4556549,false,0,710,154103,4401736,0,4556549,4556549,0,一卡通票證股份有限公司,第一類電子支付帳戶,4401736,具跨機構間國內外小額匯兌功能,0,4556549,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
110,11,110/11,4498846,4498846,false,0,694,88574,4409578,0,4498846,4498846,0,一卡通票證股份有限公司,第一類電子支付帳戶,4409578,具跨機構間國內外小額匯兌功能,0,4498846,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
110,10,110/10,4406335,4406335,false,0,671,31538,4374126,0,4406335,4406335,0,一卡通票證股份有限公司,第一類電子支付帳戶,4374126,具跨機構間國內外小額匯兌功能,0,4406335,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
110,9,110/09,4286431,4286431,false,0,604,0,4285827,0,4286431,4286431,0,一卡通票證股份有限公司,第一類電子支付帳戶,4285827,具跨機構間國內外小額匯兌功能,0,4286431,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
110,8,110/08,4141280,4141280,false,0,583,0,4140697,0,4141280,4141280,0,一卡通票證股份有限公司,第一類電子支付帳戶,4140697,具跨機構間國內外小額匯兌功能,0,4141280,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
110,7,110/07,4020873,4020873,false,0,566,0,4020307,0,4020873,4020873,0,一卡通票證股份有限公司,第一類電子支付帳戶,4020307,具跨機構間國內外小額匯兌功能,0,4020873,開立電子支付帳戶之使用者人數,0,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,,,,,,,,,
110,6,110/06,3811385,0,false,0,3810839,546,0,0,3811385,0,,一卡通票證股份有限公司,,,3810839,546,3811385,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,3811385,0,110 年 06 月,類別,第一類電子支付帳戶,0,符合第一類電子支付帳戶之認證程序,0,0
110,5,110/05,3658334,0,false,0,3657803,531,0,0,3658334,0,,一卡通票證股份有限公司,,,3657803,531,3658334,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,3658334,0,110 年 05 月,類別,第一類電子支付帳戶,0,符合第一類電子支付帳戶之認證程序,0,0
110,4,110/04,3523226,0,false,0,3522714,512,0,0,3523226,0,,一卡通票證股份有限公司,,,3522714,512,3523226,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,3523226,0,110 年 04 月,類別,第一類電子支付帳戶,0,符合第一類電子支付帳戶之認證程序,0,0
110,3,110/03,3414469,0,false,0,3413961,508,0,0,3414469,0,,一卡通票證股份有限公司,,,3413961,508,3414469,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,3414469,0,110 年 03 月,類別,第一類電子支付帳戶,0,符合第一類電子支付帳戶之認證程序,0,0
110,2,110/02,3300441,0,false,0,3299957,484,0,0,3300441,0,,一卡通票證股份有限公司,,,3299957,484,3300441,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,3300441,0,110 年 02 月,類別,第一類電子支付帳戶,0,符合第一類電子支付帳戶之認證程序,0,0
110,1,110/01,3146285,0,false,0,3145832,453,0,0,3146285,0,,一卡通票證股份有限公司,,,3145832,453,3146285,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,3146285,0,110 年 01 月,類別,第一類電子支付帳戶,0,符合第一類電子支付帳戶之認證程序,0,0
109,12,109/12,3047998,0,false,0,3047583,415,0,0,3047998,0,,一卡通票證股份有限公司,,,3047583,415,3047998,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,3047998,0,109 年 12 月,類別,第一類電子支付帳戶,0,符合第一類電子支付帳戶之認證程序,0,0
109,11,109/11,2952849,0,false,0,2952447,402,0,0,2952849,0,,一卡通票證股份有限公司,,,2952447,402,2952849,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,2952849,0,109 年 11 月,類別,第一類電子支付帳戶,0,符合第一類電子支付帳戶之認證程序,0,0
109,10,109/10,2859728,0,false,0,2859344,384,0,0,2859728,0,,一卡通票證股份有限公司,,,2859344,384,2859728,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,2859728,0,109 年 10 月,類別,第一類電子支付帳戶,0,符合第一類電子支付帳戶之認證程序,0,0
109,9,109/09,2771973,0,false,0,2771607,366,0,0,2771973,0,,一卡通票證股份有限公司,,,2771607,366,2771973,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,2771973,0,109 年 09 月,類別,第一類電子支付帳戶,0,符合第一類電子支付帳戶之認證程序,0,0
109,8,109/08,2669229,0,false,0,2668882,347,0,0,2669229,0,,一卡通票證股份有限公司,,,2668882,347,2669229,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,2669229,0,109 年 08 月,類別,第一類電子支付帳戶,0,符合第一類電子支付帳戶之認證程序,0,0
109,7,109/07,2571492,0,false,0,2571184,308,0,0,2571492,0,,一卡通票證股份有限公司,,,2571184,308,2571492,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,2571492,0,109 年 07 月,類別,第一類電子支付帳戶,0,符合第一類電子支付帳戶之認證程序,0,0
109,6,109/06,2449995,0,false,0,2449715,280,0,0,2449995,0,,一卡通票證股份有限公司,,,2449715,280,2449995,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,2449995,0,109 年 06 月,類別,第一類電子支付帳戶,0,符合第一類電子支付帳戶之認證程序,0,0
109,5,109/05,2368498,0,false,0,2368230,268,0,0,2368498,0,,一卡通票證股份有限公司,,,2368230,268,2368498,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,2368498,0,109 年 05 月,類別,第一類電子支付帳戶,0,符合第一類電子支付帳戶之認證程序,0,0
109,4,109/04,2292927,0,false,0,2292671,256,0,0,2292927,0,,一卡通票證股份有限公司,,,2292671,256,2292927,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,2292927,0,109 年 04 月,類別,第一類電子支付帳戶,0,符合第一類電子支付帳戶之認證程序,0,0
109,3,109/03,2219547,0,false,0,2219304,243,0,0,2219547,0,,一卡通票證股份有限公司,,,2219304,243,2219547,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,2219547,0,109 年 03 月,類別,第一類電子支付帳戶,0,符合第一類電子支付帳戶之認證程序,0,0
109,2,109/02,2161775,0,false,0,2161532,243,0,0,2161775,0,,一卡通票證股份有限公司,,,2161532,243,2161775,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,2161775,0,109 年 02 月,類別,第一類電子支付帳戶,0,符合第一類電子支付帳戶之認證程序,0,0
109,1,109/01,2101016,0,false,0,2100789,227,0,0,2101016,0,,一卡通票證股份有限公司,,,2100789,227,2101016,,,營運產品群電支營運部,廖滋鐶,07-7933000#502,鄭幸宜,07-7933000#524,001239@i-pass.com.tw,2101016,0,109 年 01 月,類別,第一類電子支付帳戶,0,符合第一類電子支付帳戶之認證程序,0,0
